Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,108.2548,147.8324,77.7411,130.018,548448709.5049914,1688593814.667482
2024-07-01,2024-08-01,97.3476,112.1592,72.5656,107.7062,213995432.982122,1404466969.0348365
2024-06-01,2024-07-01,104.0274,105.4763,77.3132,97.244,159665679.13712493,1365864378.4249747
2024-05-01,2024-06-01,83.4967,113.9538,79.0179,104.0951,196538608.12510887,1359684095.8845816
2024-04-01,2024-05-01,128.3564,133.2264,73.0747,83.5681,279503028.8503954,1515492256.203101
2024-03-01,2024-04-01,105.8855,151.4083,99.5265,128.1965,373180558.38614774,1825310005.7614925
2024-02-01,2024-03-01,85.902,114.2333,81.8272,105.6758,218641757.48641115,1349649681.6059232
2024-01-01,2024-02-01,109.5756,119.7659,84.6174,86.0396,699166565.6765027,1458524091.0595598
2023-12-01,2024-01-01,97.8759,129.2699,88.1851,109.0764,301173666.2381918,1493458144.8882842
2023-11-01,2023-12-01,81.0919,109.8131,81.0919,98.0758,310523582.4797435,1372431264.2702136
2023-10-01,2023-11-01,67.5888,90.4851,61.3169,81.4688,195166829.15491304,1030254787.118956
2023-09-01,2023-10-01,55.6229,68.5496,51.492,67.5188,107152868.14258245,851140299.1313661
2023-08-01,2023-09-01,65.0523,69.0488,51.3583,55.5245,146554242.99392343,888536540.6952505
2023-07-01,2023-08-01,70.3317,87.2274,64.217,65.3478,270356106.549989,1060129722.1687936
2023-06-01,2023-07-01,63.7739,76.1037,49.127,70.4439,253640035.28440794,840237013.4363058
2023-05-01,2023-06-01,70.5039,74.3321,60.6103,63.8635,168968150.34706727,948488267.2001071
2023-04-01,2023-05-01,74.22651146074438,84.01913690858454,67.0601,70.7926,220656667.20970935,1069791440.5936079
2023-03-01,2023-04-01,77.58625280598437,82.9689,64.8597,74.23857412234818,1882807806.023435,1056301341.6871451
2023-02-01,2023-03-01,82.9518,94.88252680449004,74.2873,77.5919849616312,264579934.7171292,1194736671.7998185
2023-01-01,2023-02-01,51.9069,90.71790704509424,51.1197,83.1583,241346451.96861893,1018035135.9658892
2022-12-01,2023-01-01,65.30379007981908,66.94686937661666,51.6302,51.9069,85010516.14811808,830782357.8230817
2022-11-01,2022-12-01,83.85695463548136,97.9782,50.5604,65.29957660911634,216342824.36738387,955627815.6401443
2022-10-01,2022-11-01,74.61106286637462,89.8065,65.5998384688804,84.02305809057825,177621160.92124537,1106307128.6085627
2022-09-01,2022-10-01,84.9137,96.60565525162642,70.58983979083584,74.58813007337679,167137478.01098222,1155990168.5167577
2022-08-01,2022-09-01,97.6625,115.2744,78.3666,84.8733,216674322.06866118,1342993071.5268106
2022-07-01,2022-08-01,57.051734405788025,108.00345650280546,54.8635,98.0126,411553325.8488037,1115401030.920202
2022-06-01,2022-07-01,112.90078192136258,119.9174,45.87707033260647,57.04309664367208,382276376.74294925,1080474794.8498342
2022-05-01,2022-06-01,142.41657028826037,161.9407,65.161,113.75379762911854,440086260.06474805,1487648359.7767723
2022-04-01,2022-05-01,206.97708380300307,260.26859808720184,140.8096,142.61812074286985,600532962.8571273,2560104410.5386844
2022-03-01,2022-04-01,146.0057,240.4524,113.6189,206.24218226728,497830806.43409425,1996902024.1911054
2022-02-01,2022-03-01,157.72957184967686,192.30970978098065,112.90258475602178,145.7425,273484548.6327636,2110587757.9768934
2022-01-01,2022-02-01,254.10354164884976,284.9539377571341,131.74669946369272,157.42153646806955,487692418.6211694,2753259773.549579
2021-12-01,2022-01-01,257.4435921080337,295.2479550402477,158.1289,255.2561345926774,485437295.71958584,2856618134.4635334
2021-11-01,2021-12-01,314.4113579540022,347.9208705278148,221.4576,258.2369955487293,389683779.0354298,3867643311.6302223
2021-10-01,2021-11-01,276.02469521620435,441.3018047992665,271.5694,314.444736410554,541768374.1637256,4087663112.7337284
2021-09-01,2021-10-01,392.4422,425.471,252.6635,276.06575100949743,635932282.5768903,4479214386.124856
2021-08-01,2021-09-01,331.2319391628401,447.5524229919862,301.69,394.5855,601391730.5466057,4904771068.879389
2021-07-01,2021-08-01,250.51983381899296,346.4388727400405,213.78,331.65977695712763,687016671.6373581,3592085080.3690157
2021-06-01,2021-07-01,382.774129645837,408.4710441931848,172.82123802211973,250.51234416567624,527604251.1614355,3715164755.1146593
2021-05-01,2021-06-01,444.618824065,664.968047492,211.05,383.425163200893,1605829077.3206248,5675697201.691281
2021-04-01,2021-05-01,381.83,485.3,300.721409309,443.684589785,1128179188.6519594,4884577817.7182045
2021-03-01,2021-04-01,353.711294373,456.85754847,301.07,381,991129677.2812598,4665334997.219201
2021-02-01,2021-03-01,299.980263259,570.549021575,284.926856909,352.195976726,1783916585.7358322,5265810413.210184
2021-01-01,2021-02-01,88.438242134,321.311504773,82.207708891,300.093627419,753896713.9376304,2121255925.0827603
2020-12-01,2021-01-01,76.168539997,96.130812991,64.410851891,88.522861724,308497298.07213545,987674477.2354857
2020-11-01,2020-12-01,29.734350298,82.386560761,26.030760828,76.355520964,290148013.4626067,665527810.7380774
2020-10-05,2020-11-01,50.056393989,56.735650109,27.857987387,29.73680917,73044169.03350966,158216236.022616
