Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,0.06482160363764619,0.06792378130832172,0.043183508142377175,0.05589968734716141,12699574.971334305,49617103.21241107
2024-07-01,2024-08-01,0.08252348615315526,0.08365272820261316,0.05769835463854933,0.06497392083734196,9591641.941252023,62697576.95092456
2024-06-01,2024-07-01,0.12866316540197226,0.1367796137366176,0.07599429196703504,0.08269532511793178,12085866.809711142,87879675.66662921
2024-05-01,2024-06-01,0.10628022553815328,0.1296715840131615,0.09810299766407828,0.12894093099272788,12198260.387848433,99286668.13621515
2024-04-01,2024-05-01,0.16593411878291073,0.2033256743579238,0.10284360542520188,0.10649674543433063,41416309.01489186,119809474.83086519
2024-03-01,2024-04-01,0.15628930715630268,0.20746822340791127,0.1342619938533028,0.16605363068051762,39678587.64482247,146974342.26625568
2024-02-01,2024-03-01,0.09415759877230477,0.1604028983728821,0.09114879171501539,0.15444586043534267,37349752.641927995,96608825.56155632
2024-01-01,2024-02-01,0.1264017789475655,0.13626206247887782,0.08853870802844653,0.09390935341197396,21363806.119773522,89431253.65113239
2023-12-01,2024-01-01,0.09632431726716945,0.25136600426424244,0.09457868801526681,0.12670150533317723,109692325.48472734,101582965.83388679
2023-11-01,2023-12-01,0.07766609099516969,0.10501814497792296,0.07540186899601516,0.09637987632801139,26783654.488630764,73360413.21576479
2023-10-01,2023-11-01,0.07906635397253832,0.08419554702944498,0.06777167713993244,0.07783758512059767,11898859.77793288,61229167.58620477
2023-09-01,2023-10-01,0.07714816059349168,0.0830565984770541,0.07313968969261152,0.07917597005224042,13018673.383432068,63771716.007589586
2023-08-01,2023-09-01,0.10301529444684342,0.10629958473697342,0.07356683900560675,0.07713474857092859,15837055.19829408,74461885.26810613
2023-07-01,2023-08-01,0.10735922693394863,0.11168388528348648,0.09550403819748901,0.10327975182486149,27690813.948778152,83158795.51202685
2023-06-01,2023-07-01,0.10886128151212658,0.14319874325084683,0.09239453146758639,0.10735922693394863,11356460.368182337,90795715.66431457
2023-05-01,2023-06-01,0.13421545379495245,0.13742001235211754,0.09572378350029208,0.10886128151212658,6055540.6515989015,85430791.79619274
2023-04-01,2023-05-01,0.10987490620774434,0.1952836389535701,0.10030366813975969,0.13421545379495245,8180695.401202825,89441739.69713518
2023-03-01,2023-04-01,0.13351019169517264,0.14064474339801386,0.0879462700535515,0.10987490620774434,2493165.337009952,84873130.24652033
2023-02-01,2023-03-01,0.13523803504079285,0.17826242227902064,0.11549114379387403,0.13351019169517264,6676723.869437538,100983923.74116367
2023-01-01,2023-02-01,0.06671964247553203,0.16115220451989698,0.06249782361844586,0.13523803504079285,8572572.687016912,80682427.245251
2022-12-01,2023-01-01,0.09216619216559921,0.09699902602121359,0.06650160183370003,0.06671964247553203,2106005.997543527,63798126.904042654
2022-11-01,2022-12-01,0.11813774036017824,0.14391823818574992,0.08015834208872238,0.09216619216559921,4336117.078090198,50501399.50161488
2022-10-01,2022-11-01,0.11208225753963935,0.12107135050706577,0.10441515297821746,0.11813774036017824,3378297.2942008157,50673674.99234321
2022-09-01,2022-10-01,0.12185799343459332,0.15100378330364947,0.10234521061799322,0.11208225753963935,2555833.848940577,51647862.58739512
2022-08-01,2022-09-01,0.15189418137595065,0.18150597608633184,0.11435901371893363,0.12185799343459332,3968189.957106968,66120568.001311764
2022-07-01,2022-08-01,0.11212375092349704,0.16640069897262963,0.10159697532272306,0.15189418137595065,3731274.2968933145,55792963.69052182
