Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,1.8334477988705427,1.8523885953905161,1.140777288908418,1.3914476715560695,27707191.049229354,128582487.47374235
2024-07-01,2024-08-01,2.2166490400702856,2.2819657534966424,1.523835114020001,1.8277602736562053,31141781.230685234,168511536.3971385
2024-06-01,2024-07-01,3.080768376903841,3.6818746923435404,2.0063995962651777,2.217992724593467,54711124.79509948,233458775.59750476
2024-05-01,2024-06-01,2.161519266707044,3.3342106707917285,2.0361262413204697,3.0869498042677193,58381956.664743036,219548511.10322297
2024-04-01,2024-05-01,3.6885936918437894,3.695977982472981,1.9032299829420098,2.166315707893341,36977344.642983474,239467759.0436016
2024-03-01,2024-04-01,3.8913851807786464,4.300714708900003,2.80073559482007,3.690429905610526,97447011.21094456,317617223.5900917
2024-02-01,2024-03-01,2.651407405667829,4.893798509702999,2.6007867767758515,3.8652873634591662,287476861.9144019,312762991.16817653
2024-01-01,2024-02-01,1.9710760181081115,3.371120271787833,1.4441853663767465,2.6660811464110292,267398581.955466,173569169.30455142
2023-12-01,2024-01-01,1.430806109989089,2.1940482054240933,1.4259613353129723,2.007586845515058,37838174.472928375,146490849.4036663
2023-11-01,2023-12-01,1.2483044052495187,1.7959767342965172,1.2094795997437662,1.4330525075125673,51378201.331874326,124311382.46924011
2023-10-01,2023-11-01,1.1198094432994672,1.3144685921342683,0.9919143062544155,1.248644559560374,21818363.164784584,94942724.67014521
2023-09-01,2023-10-01,1.15248692298973,1.3403987156898511,0.9854440389698141,1.1204080659177786,56720043.85129035,95414915.9556541
2023-08-01,2023-09-01,0.9781689938139124,1.4409659193545437,0.8441652034642915,1.1488789623653504,179209444.46490818,89008897.26864183
2023-07-01,2023-08-01,1.0521337629636847,1.1693423116626678,0.94288568535702,0.9802732118039907,11074769.273069056,90044908.46745448
2023-06-01,2023-07-01,1.2313255306845075,1.7240729884617845,0.8689714462352482,1.052749786112873,14744799.021967016,90778207.24345206
2023-05-01,2023-06-01,1.4600342672848658,1.511147802490124,1.1369373159495375,1.2340326165391917,17549851.843055718,106067244.86439238
2023-04-01,2023-05-01,1.6069568370534135,1.7487920335469387,1.4105339985151961,1.4673481134162243,20040231.295534853,126360671.97558995
2023-03-01,2023-04-01,1.4883735756504721,2.1567558911038427,1.1747821343806444,1.6102062232700083,56121665.73881517,112408236.56354289
2023-02-01,2023-03-01,1.600851161751756,1.9620641995611021,1.482930711273172,1.4883735756504721,22709093.73911461,97493565.00748953
2023-01-01,2023-02-01,1.0131011242879524,1.8332681537829731,0.9950196268571752,1.60859835426028,23511675.16963247,75866557.67201969
2022-12-01,2023-01-01,1.5529641499343394,1.5529801372845478,1.0112341470274604,1.0163746979655455,8575889.176497234,73934688.53699932
2022-11-01,2022-12-01,1.753440981660274,2.435208576568568,1.291292966226453,1.5529641499343394,28020935.428686406,91123116.5428446
2022-10-01,2022-11-01,1.6391613665627174,1.8477097295619074,1.4474044563197659,1.756560497944049,14749523.542625817,94128599.29030769
2022-09-01,2022-10-01,1.6497938565482633,1.8964340164374651,1.3970932195856776,1.6426884913016508,15402048.47330106,93478497.5193234
2022-08-01,2022-09-01,1.952119950037802,2.808669204162308,1.5740977880202935,1.648183569972983,19473480.28147425,115450740.28113118
2022-07-01,2022-08-01,1.716153720920051,2.255899810962032,1.4939900889240272,1.956822998704146,48933203.96724239,83757986.99729523
