Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,415.2775,423.3707,279.19,323.8465,552288285.6971215,6841384544.278867
2024-07-01,2024-08-01,394.5085,457.9158,289.9892,415.9894,612304171.3486475,7382348070.525654
2024-06-01,2024-07-01,455.8716,520.1609,346.5648,395.4767,538869332.1112736,8453664307.412275
2024-05-01,2024-06-01,435.9452,527.2227,401.7371,455.7447,643377064.3549651,9176474760.75697
2024-04-01,2024-05-01,680.0299,712.0877,425.5011,436.165,1539100501.7059102,10955373174.336031
2024-03-01,2024-04-01,297.529,688.2468,297.529,681.1149,1691090255.4800475,8764603704.36093
2024-02-01,2024-03-01,234.6386,318.995,231.0073,298.5325,562349855.8026713,5135065413.168525
2024-01-01,2024-02-01,260.6417,296.8491,219.915,234.638,497607448.9667901,4811200631.429769
2023-12-01,2024-01-01,221.9948,286.7564,219.0061,259.8591,562058241.4220256,4688551227.648022
2023-11-01,2023-12-01,244.9207,256.7316,214.9573,221.7983,416731695.4008092,4565700660.068974
2023-10-01,2023-11-01,234.0732,269.16,209.396,245.4993,584430698.5452671,4573300326.622347
2023-09-01,2023-10-01,207.6903,243.9186,180.9009,234.2577,992645952.6614491,4035816361.619455
2023-08-01,2023-09-01,247.705,248.5209,166.2449,207.4609,1055791298.2882081,4174882426.8976173
2023-07-01,2023-08-01,307.657,308.7527,232.6906,248.1678,2083833773.587893,5085665460.121698
2023-06-01,2023-07-01,113.2117,325.6816,95.9698,305.5281,1269636563.8161976,2686944238.389203
2023-05-01,2023-06-01,117.9487,123.8226,109.2781,113.2703,221642092.1074305,2244430427.700364
2023-04-01,2023-05-01,123.8922744992217,135.73879998492345,113.9433,118.3585,232230323.43494686,2423647185.4446707
2023-03-01,2023-04-01,131.9870620808673,137.7679,105.7851,123.91842451485402,325728564.4341447,2422433295.2560816
2023-02-01,2023-03-01,133.2405,152.6573,120.7121,131.86608513071485,371301363.88213664,2574632675.709399
2023-01-01,2023-02-01,97.0431,137.9656,95.7638,133.3492,383474450.8732639,2270419400.160979
2022-12-01,2023-01-01,113.35517900484105,116.46506664744746,95.56438149165429,96.9338,259836282.1096472,2030755424.3964908
2022-11-01,2022-12-01,115.09752207935897,125.4441,87.83928739640412,113.42962884621849,471057145.3457657,2108007668.4131284
2022-10-01,2022-11-01,120.00629616588117,123.4528,102.8838741357331,115.19097378375108,400950493.5322461,2173659183.459173
2022-09-01,2022-10-01,115.3222,137.7698,107.11383854063158,119.92778834170409,388274134.13400894,2281625161.6073213
2022-08-01,2022-09-01,139.6879,147.79264592909016,112.15559426979596,115.2577,353345720.88824165,2525128232.1969714
2022-07-01,2022-08-01,103.05428613866384,163.26844072013145,95.98578690517176,139.8135,490928388.005966,2212365655.6147227
