Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,576.998,597.6375,406.217,534.3258,2214656950.226365,78948087454.24638
2024-07-01,2024-08-01,582.5248,604.9803,457.2846,576.9811,1470554503.2333248,82531016430.71812
2024-06-01,2024-07-01,594.2005,718.8821,553.9245,583.04,1764809681.9315498,90448153582.96605
2024-05-01,2024-06-01,577.7418,629.077,540.9906,594.4896,1665318329.2379131,86830250380.42203
2024-04-01,2024-05-01,607.0448,626.3403,518.3465,578.917,2668388555.419712,86621713699.99962
2024-03-01,2024-04-01,399.9303,637.9922,379.4678,607.3094,4314884403.17089,78518145434.83315
2024-02-01,2024-03-01,300.777,425.4693,296.668,399.7585,1618745096.0672402,51333717849.33583
2024-01-01,2024-02-01,312.8798,332.1794,287.9518,300.6679,1474324669.4421823,46435589484.446976
2023-12-01,2024-01-01,227.9785,337.0712,226.5848,312.1512,1615773429.1559916,39044563572.43583
2023-11-01,2023-12-01,226.2074,269.468,223.2665,227.8561,1225191911.0359492,36407149656.91312
2023-10-01,2023-11-01,214.7972,237.0077,203.3133,226.6384,724268915.3210709,32918552062.112328
2023-09-01,2023-10-01,216.8442,220.9474,204.5827,214.6779,661603831.868402,32868224112.526394
2023-08-01,2023-09-01,241.227,248.3788,204.2946,216.752,913919302.6030945,35484774156.371475
2023-07-01,2023-08-01,240.5242,261.1496,232.0116,241.379,1209928186.675009,37669711706.61712
2023-06-01,2023-07-01,307.4712,308.925,222.4423,240.5151,1627047136.6585245,39999053202.453156
2023-05-01,2023-06-01,335.8583,337.4433,302.3452,307.1782,1349864606.5464306,49011514266.009415
2023-04-01,2023-05-01,315.7945024712745,349.37644286823473,302.1171469922046,336.1457,1706592149.063321,50638459851.68722
2023-03-01,2023-04-01,301.87455013340707,345.7865446310831,265.6937,315.96719149967396,1761938713.2097497,48927228512.462364
2023-02-01,2023-03-01,313.2922,337.8932256942817,284.6958,302.0362776557859,1961817443.9093385,50245068929.614006
2023-01-01,2023-02-01,247.5676,323.5354233125126,243.16034353994058,313.4758,1691352400.8194442,45938019596.55317
2022-12-01,2023-01-01,300.66846801028044,301.0077062387255,221.613,247.661,1819776979.8466895,42593100548.06485
2022-11-01,2022-12-01,326.008522106708,386.8732142855735,251.766,301.5023666234831,3348104324.381277,48264912559.46424
2022-10-01,2022-11-01,284.75107686730365,336.1907,258.8348,326.6615491776288,1535701770.2577353,45456389951.64765
2022-09-01,2022-10-01,278.5996,298.44334406881,256.38272649510515,284.33736660232296,1378009468.0298476,44788477098.688675
2022-08-01,2022-09-01,283.2522,334.8164,272.0153,278.5291,1699735460.533476,48714742908.30838
2022-07-01,2022-08-01,218.52651415091844,299.84866635693754,213.88397672575945,283.0109,1958473669.2165766,40053293941.86554
2022-06-01,2022-07-01,320.8144788136854,323.4379433103052,185.5211056870471,218.0650840271734,2261893275.509017,41699013599.22985
2022-05-01,2022-06-01,377.8266216048991,411.21698186068267,216.4165,321.41373876425365,3060416362.016736,54777937997.6222
2022-04-01,2022-05-01,429.1837125229501,459.5896954140402,378.6615151392165,378.6615151392165,2661580529.7861924,69719598522.1355
2022-03-01,2022-04-01,396.5101,451.9386,360.5125,429.11510661997255,2209931346.2922916,66286429867.912056
2022-02-01,2022-03-01,374.87607949790777,444.711584343492,325.135390795548,396.0547,2179108924.7020373,65817313543.07932
2022-01-01,2022-02-01,511.6325632017036,532.7722,338.1489,376.62548159931714,2806489797.0195594,74401736877.31288
2021-12-01,2022-01-01,623.3608588596004,649.0288,504.6751,512.3082500457142,3306720960.3799157,92742833409.33649
2021-11-01,2021-12-01,524.6045309250521,668.4014,513.2274713597685,623.6025508832862,4529335096.146885,99878191367.50404
2021-10-01,2021-11-01,385.7985501653085,539.2332809264907,381.96249940966817,524.8187309039108,3947512967.5757546,76839730203.3095
2021-09-01,2021-10-01,465.2468,508.2352,323.2652,386.1117255846037,3868990392.471402,69429176784.68285
2021-08-01,2021-09-01,333.8114350745262,516.7874,318.67513875985725,466.1393,4713892300.385694,68709277767.058075
2021-07-01,2021-08-01,302.89836256440486,338.64,257.29,335.4595933712864,3793630412.7766304,48637182003.07325
2021-06-01,2021-07-01,353.8295860410441,429.8813365204959,228.46,303.39535451339844,6754301441.712269,52239415739.534645
2021-05-01,2021-06-01,624.086649527,689.33,215.23,353.6585685769617,10682650479.532215,77441129689.31946
2021-04-01,2021-05-01,302.378968411,633.371207349,301.77019481,625.790448688,13848433630.684631,73759055201.75467
2021-03-01,2021-04-01,210.304226781,316.141194237,210.304226781,302.587495819,8068555274.212502,39945998371.63692
2021-02-01,2021-03-01,44.28748919,340.903097459,43.557997081,209.453016883,7907006008.10188,23259197434.958347
2021-01-01,2021-02-01,37.385191733,46.935549718,35.355863175,44.270909775,1401768082.499406,6115031281.725285
2020-12-01,2021-01-01,31.490710035,39.341940154,26.759863031,37.377062901,882568728.4717886,4531280491.748474
2020-11-01,2020-12-01,28.545239114,35.335688476,25.958823896,31.386317113,771551463.3617222,4150498019.429986
2020-10-01,2020-11-01,29.331079563,32.319909656,25.840929586,28.44708893,734870835.6820614,4256167267.715147
2020-09-01,2020-10-01,23.156393845,33.320687422,18.733821869,29.229146818,977864756.6320105,3643541952.660683
2020-08-01,2020-09-01,20.668560081,23.904308944,19.88289477,23.167980248,529640213.45434177,3231199739.877435
2020-07-01,2020-08-01,15.494306922,20.793699888,15.255760632,20.692580713,314828135.2905491,2680811290.009521
2020-06-01,2020-07-01,17.077084415,18.16489524,14.893117436,15.506046328,261865840.68078792,2584848333.750937
2020-05-01,2020-06-01,17.002046152,18.007059859,14.210350627,17.049262864,338133114.25956064,2585421915.8365226
2020-04-01,2020-05-01,12.563044357,18.121468127,12.034729157,16.953940267,359282894.88790214,2335549951.5735
2020-03-01,2020-04-01,19.394326229,21.66583799,6.873510959,12.578871197,327527928.5998262,2239031090.7005615
2020-02-01,2020-03-01,18.208388129,27.020360278,17.790936655,19.392705869,403096550.46384114,3379050133.742801
2020-01-01,2020-02-01,13.724279835,18.809104738,12.994510502,18.123464922,268726352.8798655,2499975868.9768133
2019-12-01,2020-01-01,15.727603014,15.779983276,12.186884244,13.751685261,178432303.38010144,2221918315.594384
2019-11-01,2019-12-01,19.903469949,21.57278002,14.011343513,15.722564837,232739136.70528084,2917882688.7082577
2019-10-01,2019-11-01,15.797129452,20.900282254,15.032256213,19.916013861,213830516.52533427,2727717067.2260466
2019-09-20,2019-10-01,21.525977398,21.525977398,14.710304264,15.758749616,152677945.4654167,2795161128.081709
