Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,0.48170770351788667,0.5009219376413641,0.3642051839054298,0.44868657721702787,3448582.4160317588,0
2024-07-01,2024-08-01,0.49367805511193663,0.5628714406204244,0.39349096845694675,0.48193443126856667,2761929.6188312685,0
2024-06-01,2024-07-01,0.665267130702152,0.6822035756080863,0.258146219208,0.4946736432621453,4702342.125131653,134384603.02066934
2024-05-01,2024-06-01,0.6329471095543043,0.7657296928146335,0.5954274923680102,0.6677000809156395,6678801.674605395,232130851.04370317
2024-04-01,2024-05-01,0.9883272058734334,0.9883272058734334,0.5697202728787595,0.6292740306444476,8787829.673907932,250632225.0621029
2024-03-01,2024-04-01,0.5391445260694034,1.1283195973516655,0.5082679909683987,0.9705522758547728,18952055.358771622,257560488.42190918
2024-02-01,2024-03-01,0.4969304511071775,0.5868478154959701,0.4659685786603203,0.5382974485021356,14257899.294216536,167167039.85969764
2024-01-01,2024-02-01,0.6608204638877597,0.7806649363112453,0.46194780437848043,0.4908623664005983,24135913.88437843,178446908.0953426
2023-12-01,2024-01-01,0.21158744421534809,0.7713130365599037,0.1960446458204559,0.6763653576238626,45953631.40757957,125935053.48993665
2023-11-01,2023-12-01,0.1584239562374471,0.25110584460067853,0.150744628947661,0.2122751230668106,25515602.94995585,53830484.02586297
2023-10-01,2023-11-01,0.13786976304956444,0.16830474933811065,0.12842739552625212,0.15538449643132451,16066817.97489089,37434597.4570229
2023-09-01,2023-10-01,0.14853625884657506,0.20543695903328937,0.1303555060997631,0.13772736854474987,16853849.02016466,38743577.99213576
2023-08-01,2023-09-01,0.19102653798320587,0.23899822605937346,0.1481900263058837,0.1481900263058837,19079546.404061977,45027977.81618011
2023-07-01,2023-08-01,0.23051097119890185,0.23834769350996557,0.18578259166013508,0.19192730006795475,17466297.544037927,48621950.991232775
2023-06-01,2023-07-01,0.30816312522589695,0.3099661214272147,0.21316842819849716,0.2321985572537183,17652380.089629125,56561019.57536939
2023-05-01,2023-06-01,0.3272480144071855,0.4137673457362821,0.2996125585148653,0.3052020929380446,23121149.967152026,72813365.10050948
2023-04-01,2023-05-01,0.3513886797207511,0.421551915777973,0.3011090692670603,0.32674775544316254,12488974.318282736,76004467.44958404
2023-03-01,2023-04-01,0.4980428026545864,0.5084663455673827,0.33666266692665114,0.3505829252859323,7043938.671200399,85680993.39207347
2023-02-01,2023-03-01,0.6231748088434947,0.6999112059915586,0.4916265151885385,0.5016980781101813,9228969.092031194,121258657.90245771
2023-01-01,2023-02-01,0.4624084992225789,0.6211067448463806,0.44676212124818365,0.6147924675895358,9094293.129593426,113368931.90999034
2022-12-01,2023-01-01,0.33577903480147026,0.7595649982451147,0.33577903480147026,0.46349191052121935,10728225.673261978,95222403.03685975
2022-11-01,2022-12-01,0.5303563518999167,0.6273359557027514,0.3216326720049781,0.3455330357197588,9003580.171547921,88213182.63311437
2022-10-01,2022-11-01,0.3000469412785981,0.5769524855922616,0.2826241507128032,0.5400727847008633,10095421.333119763,75766436.27215135
2022-09-01,2022-10-01,0.3415129730341478,0.366763940402161,0.28768207331905293,0.3026555506079549,4831467.328539321,67570725.7377171
2022-08-01,2022-09-01,0.4510387248023396,0.4693847089395928,0.32694150626900476,0.35092142233744994,3468438.850047418,83245067.87981574
2022-07-01,2022-08-01,0.3798024936511143,0.43405329337143156,0.31843505099374564,0.4273908421415189,4044905.413749843,78329172.4129438
2022-06-01,2022-07-01,0.5414506041094873,0.5414506041094873,0.2573587209266877,0.3759827984761595,3633795.2859119955,81884079.49571858
2022-05-01,2022-06-01,0.8116933894881222,0.8131715291451553,0.3036776092383566,0.5491929969836499,3926692.136074047,120181186.18910766
2022-04-01,2022-05-01,1.226991054077117,1.3357818955458602,0.8437159679430537,0.8535072398691942,4721062.519481478,224083972.0388443
2022-03-01,2022-04-01,1.290327132692163,2.2247349336286675,1.100464439807647,1.2301274671958042,6961492.8480796125,267175888.52330214
2022-02-01,2022-03-01,1.302868605353522,1.6172289508224147,1.0502472738645774,1.2363842035714876,6345892.932624811,84893365.89565732
2022-01-01,2022-02-01,2.262629032443218,2.3914760078310073,0.9926000195013092,1.2995597010327016,11279256.062590186,0
2021-12-01,2022-01-01,2.3743951255832196,3.665159509253114,1.8545629580824168,2.2108755532800375,6148987.468725046,0
2021-11-01,2021-12-01,2.549055487134224,3.311153038596357,2.1129083987575616,2.421359166022704,4861933.652632301,0
2021-10-01,2021-11-01,2.5066655634630655,3.0960067558549818,2.3898607376550087,2.597314041788828,3318130.9341413258,0
2021-09-01,2021-10-01,4.117780523755973,4.568447969428788,2.0153880751089397,2.498152652956744,8013383.407031623,0
2021-08-01,2021-09-01,2.4154930919054256,5.020148574034619,2.269314515774313,4.117468356319374,8904418.804803787,0
2021-07-01,2021-08-01,2.7261327161239626,2.7941219412408675,1.6867483024525902,2.4072624841756496,5428566.603126766,0
2021-06-01,2021-07-01,4.8470364856094115,5.042465747979506,2.1487090489312437,2.7139201097767742,17937179.719658986,0
2021-05-01,2021-06-01,6.104855450442783,7.094387004356316,2.1156414799098155,4.789798279547959,9658417.104884744,0
2021-04-01,2021-05-01,6.195252580928017,7.767407724935109,5.284518571850312,6.100645252827219,15438931.307352554,0
2021-03-01,2021-04-01,3.9468092863116113,8.437276545486199,3.8783155287657616,6.1790065837007315,14552502.21228542,0
2021-02-01,2021-03-01,0.8442172078718458,4.114175725591142,0.812717822417078,3.8662678411922884,12907224.71511815,0
2021-01-01,2021-02-01,0.6303791157780491,0.9392923586786442,0.5432536959655943,0.8497815935223645,6998755.94671884,0
2020-12-01,2021-01-01,0.5264075810014647,0.6335938355521208,0.5017971914445367,0.6074467773292465,4400771.775947908,0
2020-11-01,2020-12-01,0.49968878948363277,0.5993284009561755,0.4720227788542448,0.5271542103634815,2963224.214305909,0
2020-10-01,2020-11-01,0.5843404273769787,0.6162773114798732,0.4700029569758545,0.49756622860029975,3228572.1673431774,0
2020-09-01,2020-10-01,0.6131534219347672,0.6191429468089612,0.5275897633275727,0.586811888187132,3166168.34945428,0
2020-08-01,2020-09-01,0.4194962418397155,0.6232692817537087,0.38286386968461245,0.6120590014374597,2634306.8367140098,0
2020-07-01,2020-08-01,0.2840799648345217,0.4201869624316452,0.2509772193230509,0.4201869624316452,581198.7097969104,0
2020-06-01,2020-07-01,0.19901256250040872,0.3318987525455287,0.15893522781445166,0.29453010283885195,328231.67055513134,0
2020-05-01,2020-06-01,0.35152979852971405,0.3697363155831615,0.1850383840410962,0.2046960333656304,510726.92608687497,0
2020-04-01,2020-05-01,0.37761843052067007,0.6789001744391467,0.29634826274244197,0.3555512813932127,530381.7672338153,0
2020-03-01,2020-04-01,0.249351223334287,0.37503550655772555,0.12931786405756826,0.3706242386947614,422129.8743723814,0
2020-02-06,2020-03-01,0.31913899774184784,0.4601772767641479,0.22042347683460412,0.24766527579160225,50292.05907509813,0
