Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,12.6381,13.9894,8.839072693926871,10.6413,2469864.755910248,173857660.46314055
2024-07-01,2024-08-01,15.3421,15.5653,11.3145,12.6064,6161814.0224067755,211897201.1676629
2024-06-01,2024-07-01,20.781,21.8741,14.5277,15.245,1919122.9676295384,282565779.93256164
2024-05-01,2024-06-01,19.4859,22.3407,17.609,20.6779,2437914.4101698613,326245223.80879796
2024-04-01,2024-05-01,28.4682,29.4194,18.585,19.4285,3124062.665185655,362777600.001238
2024-03-01,2024-04-01,21.19,32.307,20.3458,28.6007,4959442.736095058,415790665.0039973
2024-02-01,2024-03-01,15.8138,23.1729,15.2748,21.0004,2934694.0915214866,277402414.28432053
2024-01-01,2024-02-01,18.0659,22.5434,13.7623,15.803,4012207.8271642854,255320600.14438152
2023-12-01,2024-01-01,14.366,25.2001,14.1839,18.0244,5149619.62518002,248468940.5623347
2023-11-01,2023-12-01,13.0863,16.2579,12.5114,14.3684,1511724.6509509045,223641097.04957014
2023-10-01,2023-11-01,13.7058,14.0604,11.5721,13.0851,776173.0831912569,198808595.4631026
2023-09-01,2023-10-01,13.2325,14.8216,12.3843,13.6912,734897.1081149378,204831525.19114012
2023-08-01,2023-09-01,14.7216,15.3888,12.4877,13.1898,1011987.8050303356,214083198.26066118
2023-07-01,2023-08-01,15.8092,19.5684,13.7412,14.7312,1228531.3602303609,235848959.55584493
2023-06-01,2023-07-01,15.7564,17.0008,12.0684,15.7368,2483125.8286662195,215516248.28826556
2023-05-01,2023-06-01,18.2056,20.3866,15.2686,15.8303,1701344.0979395548,256369026.52905887
2023-04-01,2023-05-01,20.2397,24.905,18.0095,18.2056,2834039.8121221517,300536448.45277995
2023-03-01,2023-04-01,23.5227,25.2889,17.5731,20.2828,2146195.276226037,306547206.7831727
2023-02-01,2023-03-01,22.8356,28.0436,21.809456964165832,23.5406,2115887.366014913,348732576.7232124
2023-01-01,2023-02-01,18.4767,24.5189,18.3016,22.8356,1330784.3995936695,306708878.6163132
2022-12-01,2023-01-01,20.6244,23.959,18.2837,18.4767,1436440.8351193976,294015197.2716624
2022-11-01,2022-12-01,27.2543,28.7386,18.4308,20.5656,1998531.836148209,319896082.90906847
2022-10-01,2022-11-01,25.11896975699053,28.8194,23.762,27.2683,2162837.992289067,377592069.5101404
2022-09-01,2022-10-01,28.2656,33.2329,23.3778,25.11896975699053,3496667.2393138763,390610534.6284037
2022-08-01,2022-09-01,27.2879,64.0944,25.9639,28.2656,12559878.989820728,453149918.5408181
2022-07-01,2022-08-01,22.529,34.1405,20.7107,27.2072,2355088.4123096094,338227330.5185296
2022-06-01,2022-07-01,36.4113,44.3522,19.9442,22.529,2677947.5506592593,401366739.9576716
2022-05-01,2022-06-01,55.9465,59.6657,29.0477,36.5653,4043061.9304368705,591268451.1741529
2022-04-01,2022-05-01,62.104865087586745,84.021,52.9485,55.9465,11346932.056510476,847397607.2998576
2022-03-01,2022-04-01,61.8648,66.86039296550365,50.0668,62.104865087586745,5313275.235875894,792980382.6207188
2022-02-01,2022-03-01,63.99771622924577,71.8078,46.7144,61.8648,5351314.614506145,856862084.7478789
2022-01-01,2022-02-01,70.5124,86.5748,50.288,63.8399,8566211.771511516,863922361.0942645
2021-12-01,2022-01-01,103.2239,109.7322,60.044,70.809,10059479.525959652,1093380539.1382215
2021-11-01,2021-12-01,115.94448792757892,122.1949,90.8726,103.2239,9230499.154354878,1474767074.0396187
2021-10-01,2021-11-01,106.1118,138.7846,103.1099,115.94448792757892,9294343.041008864,1624816690.1598594
2021-09-01,2021-10-01,173.2622,183.872,96.5206,106.3387,10774595.86745161,1875780849.4599311
2021-08-01,2021-09-01,156.9,182.0197,126.2,173.6488,13072643.325103998,2135325570.8046024
2021-07-01,2021-08-01,143.9,158.60196310240863,91.96,156.9,8265709.005557266,1679027229.5366845
2021-06-01,2021-07-01,171.84,176.52,87.88,143.61,13173401.048808862,1726594316.455116
2021-05-01,2021-06-01,206.35,229.71,88.16710567700432,171.25,23133516.511753395,2255658075.6127853
2021-04-01,2021-05-01,180.46,248.38,169.01,206.35,30193177.41952934,2538057043.6926165
2021-03-01,2021-04-01,133.818402447,182.47,133.818402447,180.46,25230562.21663184,2038541178.6942122
2021-02-01,2021-03-01,66.134380343,170.911590254,64.54277203,133.210886311,39989377.62388189,1412504306.4779623
2021-01-01,2021-02-01,40.740379622,69.994473611,39.681272056,66.22688758,18723471.111613814,672569193.8124206
2020-12-01,2021-01-01,24.534323452,42.686232388,23.685092861,40.739131006,10980611.590544943,381214557.8972471
2020-11-01,2020-12-01,12.257945023,24.839512179,11.609681047,24.570507359,7259850.858673942,220113307.65260345
2020-10-01,2020-11-01,11.758420829,14.207955943,11.145799423,12.264674974,2575364.2136929245,145590044.29144096
2020-09-01,2020-10-01,17.170714808,17.404554392,10.989799172,11.770597316,2524639.165525678,160676875.21717268
2020-08-01,2020-09-01,15.252858717,22.774609799,15.252858717,17.16923578,6140387.17180371,201669418.95481583
2020-07-01,2020-08-01,14.134828753,16.443652625,13.647008256,15.277424838,5210138.848486372,177307188.66654396
2020-06-01,2020-07-01,14.624897132,18.91071174,13.980622876,14.150951729,10376146.697969815,185983103.87116253
2020-05-01,2020-06-01,13.254075497,15.784232596,12.333637654,14.624343816,11023993.84582853,161991820.24536598
2020-04-01,2020-05-01,11.455381019,14.470118157,10.981495983,13.230723875,16024529.794614207,136535652.11149558
2020-03-01,2020-04-01,16.959937921,19.92517083,7.526421892,11.5307557,28540934.611441292,145526826.69067746
2020-02-01,2020-03-01,18.769716441,24.848983885,16.837023193,16.969680407,59627132.344019644,219556598.83467165
2020-01-01,2020-02-01,16.801467254,22.464028874,14.5707612,18.758321971,42839117.67939222,192365593.59846625
2019-12-01,2020-01-01,19.877414397,23.732560808,15.139471447,16.804710539,43066565.48284463,197128961.09549832
2019-11-01,2019-12-01,15.599384861,25.259760965,15.06309339,19.832316647,42769195.329448685,211906016.6870718
2019-10-01,2019-11-01,17.251796999,17.694530528,12.754149098,15.602982294,22634087.45995052,163713892.0461849
2019-09-21,2019-10-01,23.08438586,23.196495182,16.143426616,17.244522937,7167918.11369051,201569518.93939084
