Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,1.6602523761536355e-7,1.6619481283867098e-7,9.606816e-8,1.2424712695349564e-7,8948098.168129506,68211515.39592116
2024-07-01,2024-08-01,1.5775601717843653e-7,1.9777411893317894e-7,1.00783581e-7,1.6608541909370694e-7,2690563.7382809636,91431003.6232485
2024-06-01,2024-07-01,2.0927607419154586e-7,2.143223436658151e-7,1.4566308318163572e-7,1.553579843604986e-7,2539893.6704142643,99624832.40618111
2024-05-01,2024-06-01,1.8359046034744258e-7,2.3453196580184986e-7,1.6924891586571155e-7,2.10974130092306e-7,3276807.91241776,106948392.65982242
2024-04-01,2024-05-01,3.416177521752025e-7,3.416177521752025e-7,1.7846472510257628e-7,1.817496861801555e-7,3898027.2991101663,128338592.38569394
2024-03-01,2024-04-01,1.878620133827088e-7,4.0971821530901e-7,1.878620133827088e-7,3.4143680496311433e-7,12550420.160807969,161237708.13784826
2024-02-01,2024-03-01,1.6046418456577675e-7,2.0128047195860243e-7,1.479724773561856e-7,1.8865831290047592e-7,5274866.9937706785,89133782.5229126
2024-01-01,2024-02-01,1.7824045796824654e-7,1.8834267316256414e-7,1.4108739490843672e-7,1.6081124150475913e-7,12011476.483399555,91648145.67163548
2023-12-01,2024-01-01,1.6147033658607862e-7,2.1287606833385244e-7,1.6147033658607862e-7,1.7801288008443638e-7,12427758.519767327,103690973.08172874
2023-11-01,2023-12-01,1.794639902858919e-7,2.403988025296308e-7,1.4751085741647383e-7,1.6210495653444265e-7,11351933.285040472,93346392.48015466
2023-10-01,2023-11-01,1.3320902123475418e-7,2.3570025889557398e-7,1.2651096656467906e-7,1.7766677062216768e-7,5990475.414904873,83530661.39307117
2023-09-01,2023-10-01,1.4049350935812313e-7,1.4599790293738645e-7,1.2610568545113425e-7,1.3330299961470066e-7,5811545.9958911175,73694005.8194445
2023-08-01,2023-09-01,1.5313426648125062e-7,1.5649690364812104e-7,1.2224771551060874e-7,1.4122830555604536e-7,16536159.606803104,77590591.16458796
2023-07-01,2023-08-01,1.7649768849442346e-7,1.8460819352980992e-7,1.5195978903252704e-7,1.5299022972658751e-7,5531703.667820387,88362407.38645719
2023-06-01,2023-07-01,2.0642490368835375e-7,2.1620885857432544e-7,1.497531161586399e-7,1.75081749617776e-7,1186894.3836598338,99718507.5449384
2023-05-01,2023-06-01,2.5887218547914285e-7,2.802781674693662e-7,1.9095057153051712e-7,2.0581311016243185e-7,1973952.394714319,121816189.49491873
2023-04-01,2023-05-01,3.41693617448233e-7,3.616366365959417e-7,2.5853247953274584e-7,2.5947766482998963e-7,2782188.379187465,172669194.13813266
2023-03-01,2023-04-01,4.160767748563852e-7,4.267288537510013e-7,3.085381092499311e-7,3.374554847480711e-7,3188732.301518719,196242798.67755464
2023-02-01,2023-03-01,3.461987694588549e-7,5.114251475646213e-7,3.461987694588549e-7,4.158625748589841e-7,6245042.481986015,226820371.70338175
2023-01-01,2023-02-01,2.793333064359326e-7,3.70625202422693e-7,2.734012289365244e-7,3.4510121647544627e-7,2977551.195418623,171440045.98899412
2022-12-01,2023-01-01,3.2949686181633025e-7,3.899588129513604e-7,2.747559748216951e-7,2.8046298495163943e-7,2741258.8903480624,173230013.02783903
2022-11-01,2022-12-01,4.165414368025502e-7,5.33587911381431e-7,2.4761014130943857e-7,3.1478523893440954e-7,6631394.499562273,182173181.74678174
2022-10-01,2022-11-01,2.62447857068918e-7,5.472889282273538e-7,2.329661255642448e-7,4.12738142492202e-7,5611142.272257054,146835162.24682075
2022-09-01,2022-10-01,2.822560256633107e-7,3.029071232566547e-7,2.3888083771043035e-7,2.621662202539187e-7,4118288.2760739806,148443142.28010032
2022-08-01,2022-09-01,3.555757012817591e-7,4.114494617297375e-7,2.764120372301279e-7,2.855302426053521e-7,4907244.130367497,178973032.84609473
2022-07-01,2022-08-01,3.2738266390035175e-7,3.9553286724376207e-7,2.835137556399555e-7,3.607809509102325e-7,5021465.177918458,182848283.15833417
2022-06-01,2022-07-01,4.893844145749601e-7,4.910152632853096e-7,2.2179758605558828e-7,3.1117195807012486e-7,10540868.806123083,194517751.997774
2022-05-01,2022-06-01,9.092863566966832e-7,9.508959257439341e-7,3.8673818208077084e-7,4.7494759860745685e-7,21138017.979361854,339031964.63005924
