Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,16944.04,38371.15,10132.79,11077.09,359.3742707534392,13276534.927185237
2024-07-01,2024-08-01,18164.31,22420.32,12593.15,16944.04,238.65817824101356,16989633.005378354
2024-06-01,2024-07-01,18444.76,22398.61,14578.17,18164.31,126.60051855017245,17293045.864111498
2024-05-01,2024-06-01,13562.24,22808.38,11148.23,18564.75,370.07707241000327,116275199.60801393
2024-04-01,2024-05-01,14429.83,24078.27,7834.7391,13597.15,715.2756825910999,160252644.91559973
2024-03-01,2024-04-01,21182.08,28932.97,4665.0234,14429.83,583.6288509580604,150340660.6205829
2024-02-01,2024-03-01,41388.23,41393.69,14572.7,21182.08,16689.506369701907,245900181.2981417
2024-01-01,2024-02-01,46203.63,55142.05,39934.08,41366.79,34615.723100468196,409716181.5926612
2023-12-01,2024-01-01,40850.58,54861.24,40449.86,46203.49,15760.617673739198,415585504.61831206
2023-11-01,2023-12-01,34616.73,68254.99,34228.44,40847.76,11964.758247999389,344569514.20797545
2023-10-01,2023-11-01,27061.7,35957.93,26219.56,34618.18,16760.99724726175,264961113.20881402
2023-09-01,2023-10-01,26115.12,27436.13,24296.17,27062.78,118219.95318233057,234948853.36938787
2023-08-01,2023-09-01,29366.32,30122.24,25429.99,26113.82,24692.497269553915,253190425.31662202
2023-07-01,2023-08-01,30534.59,31617.32,27818.57,29365.42,18681.616256238143,268317028.2881612
2023-06-01,2023-07-01,28285.82,39327.63,25068.18,30534.59,15834.422013500403,251311326.0529699
2023-05-01,2023-06-01,29479.43,29767.9,26020.57,28119,26921.65264696679,250699697.38464037
2023-04-01,2023-05-01,27631.1237,30937.9188,26098.5971,29479.25,23564.800790260437,660141995.8962494
2023-03-01,2023-04-01,22896.0583,29062.3401,19630.0316,27648.099,28401.05258708457,966884801.9155432
2023-02-01,2023-03-01,23115.5536,25095.9567,19484.4208,22896.0583,6818.069105701272,890810838.0747594
2023-01-01,2023-02-01,16538.8351,23890.6343,16492.0752,23115.5536,8633.58271842564,789322754.5883807
2022-12-01,2023-01-01,17198.6735,18283.7025,15842.4861,16534.4244,5144.452601802579,656197840.0191534
2022-11-01,2022-12-01,20557.6222,21455.4199,14862.825,17198.6735,32528.634625698425,685488076.9367826
2022-10-01,2022-11-01,19519.6722,22097.1456,18650.1806,20560.122,3111.774411669618,768123797.66106
2022-09-01,2022-10-01,20068.0818,22511.514,18039.08451462325,19519.6722,2512.156805976329,772439339.6479678
2022-08-01,2022-09-01,23324.0935,26527.82,18432.7297,20045.1895,344117.74708220415,885993497.295574
2022-07-01,2022-08-01,19769.71279558397,24573.4457,18971.257,23372.0304,526180.2310942106,833386431.9285612
2022-06-01,2022-07-01,31846.06,31938.0885,17637.3260175101,19689.0088,1309687.4098887614,961432614.059651
2022-05-01,2022-06-01,37672.70638841545,39833.875687328014,25668.2486,31910.107,2295015.283782603,1248683190.9417398
2022-04-01,2022-05-01,45462.3889,47281.1041,37658.5214,37672.70638841545,2520048.5963090966,1661595633.1512966
2022-03-01,2022-04-01,43237.8766,48076.0595,37254.5317,45462.3889,1157351.8406207347,1675638614.213433
2022-02-01,2022-03-01,38459.4893,45788.1986,34577.284927654575,43237.8766,2927698.163521333,1618567825.8320386
2022-01-01,2022-02-01,46263.4037,48034.5519,33120.3479,38459.4893,3482877.3815100202,1650808016.424385
2021-12-01,2022-01-01,57116.8398,58771.0187,45629.3937,46357.0005,3376554.6160895424,1984098913.4995363
2021-11-01,2021-12-01,61446.5656,68753.89136904634,53536.7938,57116.8398,5061543.538297286,2422661232.54764
2021-10-01,2021-11-01,43820.0016,66889.2514,43404.7114,61446.5656,5840968.487654278,2287161437.9191275
2021-09-01,2021-10-01,47394.5725,52907.8266,40053.2978,43878.4947,8055857.347014958,1841466509.973702
2021-08-01,2021-09-01,41231.09,50116.5001,37547.44,47422.2262,4218428.665958911,1807233565.0588756
2021-07-01,2021-08-01,34972.66,41771.91,29508.11,41348.91,3791638.827846037,1365112031.052204
2021-06-01,2021-07-01,37431.36817630343,40603.15,29489.06,35049.22,8532421.06317097,1335919764.8662512
2021-05-01,2021-06-01,57411.46,59775.28,30835.062618962,37432.48,14553586.112803884,1406608804.7284973
2021-04-01,2021-05-01,58818.42,64746.59,47373.6,57411.46,7017076.263762404,1596689947.1134517
2021-03-01,2021-04-01,45565.131249938335,61619.323382431,45314.29569432706,58819.09,125938629.83992663,1464614539.430288
2021-02-01,2021-03-01,33046.015361740276,58281.793884478226,32333.4078239511,45565.131249938335,59038742.56712315,1010294098.5622389
2021-01-01,2021-02-01,28928.5419032037,41300.5834425292,28329.051231016518,33046.015361740276,2688902.134725205,572786513.261071
2020-12-01,2021-01-01,19533.382980052647,29071.287450958036,17714.519977344215,28928.5419032037,1032832.2932843382,138924375.89760256
2020-11-01,2020-12-01,11209.021370600884,19533.382980052647,11209.021370600884,19533.382980052647,17136.548199418947,86446627.42920691
2020-10-12,2020-11-01,11209.021370600884,11209.021370600884,11209.021370600884,11209.021370600884,0,66109009.61261445
