Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,9.614757949827524,9.622809008151808,6.392508147892443,8.307781842869316,1190049.1731355535,670612160.9808685
2024-07-01,2024-08-01,10.0195,10.1086,8.4918896303092,9.613325508683818,1046177.6892028945,762378621.2807631
2024-06-01,2024-07-01,9.995964694654438,10.7642,9.264534679858059,10.0188,963969.4613914802,812025149.0359674
2024-05-01,2024-06-01,9.665820855338701,10.6891,9.245348334473356,10.0005,1491718.7197299656,807760778.0651131
2024-04-01,2024-05-01,11.4803,11.5534,7.694069005594227,9.68592153846848,2396578.001980809,791576730.8614719
2024-03-01,2024-04-01,11.4756,15.9541,10.4448,11.4922,4766944.236913683,1091174640.4263728
2024-02-01,2024-03-01,9.482720721556847,11.6273,9.311095316261582,11.5099,1926750.0213704994,826138705.519977
2024-01-01,2024-02-01,10.2902,10.6896,9.385456012429506,9.473462727135194,1714491.6853222994,800672216.4238894
2023-12-01,2024-01-01,7.998769091098989,14.1649,7.712434087485425,10.2974,4745943.299202341,822171590.8319205
2023-11-01,2023-12-01,4.602197527792427,8.31098731895306,4.5246597157864175,7.974731891559349,2008771.1014638122,512241035.7333107
2023-10-01,2023-11-01,4.589838907525432,4.7252604948692065,4.373627130019694,4.599977280492231,853867.2371722218,362950411.6668294
2023-09-01,2023-10-01,4.113762189092594,4.646378929996785,3.6517111623417597,4.595346738652659,798384.5572975413,340528337.04315746
2023-08-01,2023-09-01,5.73603854158481,5.798459187174514,4.090216601038923,4.111739941732415,1115691.8958830803,413454612.5805943
2023-07-01,2023-08-01,6.605309373672058,6.790663392756966,5.697684072556526,5.747321359073082,1417394.9598666697,495440649.8606284
2023-06-01,2023-07-01,7.386388191126584,7.4773433867434544,5.872556410249845,6.59855254669383,2150450.9500947525,542424550.9187857
2023-05-01,2023-06-01,8.057640056183242,8.079958656180537,7.269961682457083,7.379228736736804,1358074.962570405,606051023.5392267
2023-04-01,2023-05-01,8.291019521466128,9.040439010935197,7.945746526620065,8.057640056183242,1667913.3495474893,674297891.8698016
2023-03-01,2023-04-01,8.766869270446607,9.555192019387542,7.737188160094422,8.290959057529044,1755906.1830539766,702341069.986117
2023-02-01,2023-03-01,8.284016847165427,9.346382333218251,7.829543191134077,8.721371685258475,1527075.0334488056,687269009.2277733
2023-01-01,2023-02-01,6.484841541640942,8.390532889031716,6.464042958995742,8.284016847165427,1346613.9860250696,595012247.5586762
2022-12-01,2023-01-01,6.724863518141527,6.802111935311172,6.278762918011639,6.485399269605682,893224.8617146546,522930432.4637365
2022-11-01,2022-12-01,10.0902,10.4715,5.672752419361699,6.73838591142806,3391554.8478283696,643594288.8979208
2022-10-01,2022-11-01,9.16503534007025,10.3486,8.678709626755701,10.1032,1888018.3557183505,756381924.7267547
2022-09-01,2022-10-01,9.020555842128868,9.91017829805316,8.691735078583198,9.16503534007025,2354806.0443263543,736796722.7389244
2022-08-01,2022-09-01,10.0706,10.9966,8.805349118537848,9.013401204517248,2892934.704926406,801289549.4200953
2022-07-01,2022-08-01,9.883802904765066,10.5651,8.039264872194702,10.0706,4723856.532787113,758525164.2852203
2022-06-01,2022-07-01,17.8736,17.948456465090665,9.19739400458504,9.885303788433488,5593138.584543725,1053272418.2410352
