Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,20.4977,22.7035,14.0451,18.2007,27448269.67134085,157173234.52517033
2024-07-01,2024-08-01,23.807,24.358,18.0933,20.5221,26960059.46566518,185914416.8462468
2024-06-01,2024-07-01,30.4178,33.4318,22.1482,23.7586,24727480.02573901,229143988.35348994
2024-05-01,2024-06-01,28.7251,33.3988,26.8527,30.4177,32753316.539960798,253452637.34135455
2024-04-01,2024-05-01,48.3424,48.6354,25.0611,28.7891,39501829.49863347,302507146.60867816
2024-03-01,2024-04-01,49.0459,60.8355,39.8859,48.4129,76637733.78636421,426556661.43462133
2024-02-01,2024-03-01,37.9984,53.2852,36.5703,48.9472,41151555.56399536,368281560.0775842
2024-01-01,2024-02-01,45.4027,52.2631,33.812,37.8155,55211462.91550523,347777510.0812282
2023-12-01,2024-01-01,25.8565,63.6149,24.9814,45.1082,130232846.57534322,292699662.9937767
2023-11-01,2023-12-01,21.3582,28.597,20.5645,25.7532,36220067.442664064,209603888.3938357
2023-10-01,2023-11-01,19.0414,22.3717,16.5834,21.404,18998845.258670885,156343701.6890859
2023-09-01,2023-10-01,18.8674,19.9209,17.5807,19.0502,11845312.44586806,159897606.23969537
2023-08-01,2023-09-01,22.8748,24.0507,18.5639,18.8637,20322059.58442853,181303026.43091473
2023-07-01,2023-08-01,25.3061,27.3824,22.1199,22.8981,16601947.48859966,204631904.87651443
2023-06-01,2023-07-01,26.4401,28.2856,20.3331,25.2554,20711098.34889422,207115629.46598718
2023-05-01,2023-06-01,30.9685,31.0959,24.2489,26.4559,18941045.119233027,223816983.21899727
2023-04-01,2023-05-01,34.8688,38.321686975864594,29.2837,31.1242,32161022.666257706,280921659.23727643
2023-03-01,2023-04-01,36.0761,38.2536,28.864,34.8653,39438465.25881686,288518827.44093287
2023-02-01,2023-03-01,35.3543,48.89921977251353,30.2267,36.0761,52556765.8852794,319134889.6198974
2023-01-01,2023-02-01,23.0882,37.7229,21.6855,35.3543,51110552.1863143,255876844.76371694
2022-12-01,2023-01-01,29.8278,31.7106,22.9326,23.04,28914096.562022287,231245720.73721838
2022-11-01,2022-12-01,34.9666,39.816,21.8422,29.8972,54133959.15545742,239128627.6010318
2022-10-01,2022-11-01,42.1805,44.3041,33.4226,34.9666,42091399.16438561,330512376.92788434
2022-09-01,2022-10-01,47.3661,54.2218,37.7455,42.1976,40555595.66687015,387452711.5196598
2022-08-01,2022-09-01,63.503,68.46738561404938,44.0368,47.4195,46584858.602034554,476063664.15945303
2022-07-01,2022-08-01,48.2949,69.37843806855813,45.3776,63.503,49756043.752702944,472739226.2767984
2022-06-01,2022-07-01,79.77718877698362,86.89167851484603,43.25815338764657,48.1937,95796908.7560949,495379172.9267273
2022-05-01,2022-06-01,131.5992,144.2185,62.788092216506165,80.12667783438408,143459533.3236936,783897139.0826889
2022-04-01,2022-05-01,188.563959695788,205.2747,127.1918,131.5992,112894451.77442063,1448974758.9875095
2022-03-01,2022-04-01,129.8517,199.7183048169562,115.2498,187.95221373308908,94313533.12199411,1214185203.0267537
2022-02-01,2022-03-01,159.6884459928384,204.8407781563851,105.4084,129.8517,86459988.73387028,1343636037.9803593
2022-01-01,2022-02-01,277.1087476187864,309.77387439254534,155.149,159.7392,113093567.46350081,2014840573.1763802
2021-12-01,2022-01-01,393.3445901918295,405.0336775265852,257.5664,277.42207114842927,139954282.45801476,2537835301.949466
2021-11-01,2021-12-01,369.4299784899886,517.149034450213,302.057455075336,393.36325605623006,210350589.2561185,3341336627.195533
2021-10-01,2021-11-01,331.09536682547485,414.2618836440864,307.4861,369.73094262666,219058895.17216378,3030723140.6403394
2021-09-01,2021-10-01,394.6063,450.2665,283.0494,331.3343898767656,496692070.1196864,3169407589.8890686
2021-08-01,2021-09-01,198.29456966995025,412.9966,193.92218127893145,400.3594,372311659.8658882,2307595898.3961716
2021-07-01,2021-08-01,214.67881841101743,243.27,142.3,199.1888349355372,223980170.57169947,1632691488.4144425
2021-06-01,2021-07-01,371.6129860104285,535.3779094074324,158.1922986041462,214.19886858548335,562415978.5890832,2832205952.8420386
2021-05-01,2021-06-01,406.946515898,623.250460269,203.80061991007292,371.7365834572232,552790624.3130114,3505652090.711896
2021-04-01,2021-05-01,497.086151677,506.88,283.680064147,407.839267703,441364380.1155092,3527592411.694387
2021-03-01,2021-04-01,212.750293352,566.62,210.213691505,497.73,427232990.5768176,2941565549.965466
2021-02-01,2021-03-01,98.121381482,297.738338213,95.988263562,212.750293352,300685755.0558896,1461277717.1225278
2021-01-01,2021-02-01,72.063818645,120.661129433,58.450541044,98.03865305,154035416.62434813,731238208.4388912
2020-12-01,2021-01-01,52.210751159,73.228516132,43.675524782,72.835556976,71883748.19408566,453680499.7805802
2020-11-01,2020-12-01,30.460939718,54.543819922,27.655654595,52.188077814,48482903.35464318,316825194.65419006
2020-10-01,2020-11-01,33.919565654,36.30415187,23.36689391,30.418867194,36286731.76717659,255297856.42743137
2020-09-01,2020-10-01,46.087657575,59.586692288,29.426767711,33.967738419,82383398.26863731,322252023.7475027
2020-08-01,2020-09-01,10.128727722,46.956859117,9.614109011,46.51242545,20138840.050484363,127282743.29602703
2020-07-01,2020-08-01,6.611131551,16.072479441,6.344370435,10.152487468,4511961.696884957,26674908.44417908
2020-06-01,2020-07-01,6.781298317,7.132193236,5.16263545,6.618551929,2996678.844691851,16436419.67078623
2020-05-01,2020-06-01,5.262627344,8.232442111,4.797958377,6.787822771,3691729.0477300426,16203395.704304602
2020-04-01,2020-05-01,1.969810106,5.893035479,1.878625384,5.259765294,2062985.225022061,11066444.60292196
2020-03-01,2020-04-01,2.916603886,3.743696744,1.274124087,1.969651008,1437820.2313471339,4085040.182174948
2020-02-01,2020-03-01,1.164103667,3.497670806,0.947883567,2.916832778,1111230.582376677,0
2020-01-01,2020-02-01,1.171951241,1.486475485,0.921612135,1.158264315,646081.6943232327,0
2019-12-01,2020-01-01,3.708099959,6.128979688,0.534465311,1.171964489,5655973.970675016,0
2019-11-01,2019-12-01,3.5518702,4.724666477,3.489259948,3.708099959,36063.79532061978,0
2019-10-01,2019-11-01,4.81378786,4.88076315,3.486743695,3.552572731,34546.87305199715,0
2019-09-21,2019-10-01,5.240425191,5.256702416,4.705006158,4.803522732,43389.37401599292,0
