Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,13.9971,16.1851,8.554683876339254,12.2498,59252402.60651276,391988492.06801265
2024-07-01,2024-08-01,16.6477,17.4841,11.4783,14.0542,65097988.91008108,482640080.85438275
2024-06-01,2024-07-01,22.7982,26.2632,15.0988,16.7216,124325118.83927166,659336518.3811399
2024-05-01,2024-06-01,12.3666,25.7783,11.6095,22.8038,157917069.87652436,591875904.8689026
2024-04-01,2024-05-01,18.6611,18.9323,9.413356598341588,12.3924,76385364.81140624,469721820.7232512
2024-03-01,2024-04-01,13.6669,27.1856,12.5784,18.6778,243557930.2046172,585695992.4108465
2024-02-01,2024-03-01,7.035728809151601,20.3497,6.853456007071742,13.6431,421593656.60836226,336007653.631359
2024-01-01,2024-02-01,7.955246172210132,9.366169374405253,5.996727686217873,7.008984445870531,68273797.92029616,223947569.4709277
2023-12-01,2024-01-01,6.349727946145145,10.5149,6.024763903069385,7.939315233928184,100795962.15758753,225900347.2247037
2023-11-01,2023-12-01,6.151612336291666,7.621883387744918,5.976674838773573,6.359280202238123,60161277.55183146,197951421.22023064
2023-10-01,2023-11-01,5.454275657075332,7.045049874909463,5.344980152275213,6.164309868923617,75097814.44533198,175109947.0296298
2023-09-01,2023-10-01,6.915419136550869,7.8633818200605905,5.40793680408408,5.4555195900169435,101704408.38105524,179578601.26906922
2023-08-01,2023-09-01,4.005529909618034,8.834783442118207,3.827866220637308,6.893850422732236,466411177.30013275,168569449.99556652
2023-07-01,2023-08-01,4.803243162989545,5.013590470383166,3.924019679243819,4.011386790733812,19305410.107655838,123460349.68680373
2023-06-01,2023-07-01,4.967665483065916,5.505825309389845,3.4427381246074393,4.776139373581407,19984248.168743525,122916044.61887954
2023-05-01,2023-06-01,5.5094763978995305,5.609928666667692,4.395273528646447,4.963050553755664,18949023.572675552,139570511.44574395
2023-04-01,2023-05-01,6.994071660661663,7.298684538320032,5.383959106003277,5.537206045083266,25496853.215350248,176687704.38216
2023-03-01,2023-04-01,7.031930002499541,7.350006215835957,4.811124770093122,6.996034017022041,30239118.831658978,168724597.63638362
2023-02-01,2023-03-01,7.366441380494023,11.2875,6.914758498559927,7.031930002499541,35696887.78954408,216424741.87821046
2023-01-01,2023-02-01,4.542514186214341,8.597742241217299,4.260908468977204,7.370869193294356,28409636.074799377,145385591.48225868
2022-12-01,2023-01-01,7.533650310525347,7.759042379660044,4.330599678522164,4.542514186214341,12783448.651716836,158664755.75587502
2022-11-01,2022-12-01,9.36527867692537,11.6348,6.363942071489159,7.549144284241617,25904844.768157467,200844609.21496165
2022-10-01,2022-11-01,9.021054349203773,9.802388206857753,7.925031640581459,9.382507075207723,13856589.191080624,222442588.93301487
2022-09-01,2022-10-01,10.1004,11.4776,8.560872227305095,9.021054349203773,13779078.860960148,240411570.37666065
2022-08-01,2022-09-01,11.5276,14.347813361772506,9.415586122270044,10.0799,17707247.36456835,272880020.89205825
2022-07-01,2022-08-01,9.319013060264329,15.257,7.51631144594982,11.5035,45966341.9300135,221029911.0380465
2022-06-01,2022-07-01,12.8394,13.3296,6.502208180718819,9.319440092199104,28909297.221949063,238545601.26140252
2022-05-01,2022-06-01,21.98866053690387,25.0377,11.4676,12.9165,40735018.34700011,389075012.1454587
2022-04-01,2022-05-01,27.7439,30.9608,21.5523,22.105,40388893.759000726,535309774.6031668
2022-03-01,2022-04-01,26.3452,32.141902368854204,21.446,27.617348001451862,30728229.64159874,545307512.113068
2022-02-01,2022-03-01,27.0429,36.19230913594008,18.9172,26.2312,49056618.1535344,573060267.3861029
2022-01-01,2022-02-01,39.6959,51.49357722970765,20.4448,27.0429,62073752.71903189,707741205.2486035
2021-12-01,2022-01-01,52.2896,59.23931768177749,31.2708,40.0388,82737991.40837775,870422740.4332818
2021-11-01,2021-12-01,28.315772447857167,99.9721,26.2034,52.2896,229078635.45578772,1064028130.9750566
2021-10-01,2021-11-01,16.9286,35.33179829523496,16.3785,28.286005482451493,61549050.844683,457403373.1474632
2021-09-01,2021-10-01,20.3983,24.4197,15.5988,16.9272,33131860.38037958,393859665.8070241
2021-08-01,2021-09-01,18.85,23.9071,15.59,20.4427,22273924.121879008,405178390.5406218
2021-07-01,2021-08-01,19.63,21.56,10.84,18.89,18058584.887550436,318474530.5116852
2021-06-01,2021-07-01,23.92,32.45,17.94,19.63,21001496.27959565,522671168.01917994
2021-05-01,2021-06-01,34.46,44.73,11.05362342894028,23.86,17123847.235469162,620496927.9992275
2021-04-01,2021-05-01,23.38,43.79,23.38,34.46,14072533.424612677,656574500.3474936
2021-03-01,2021-04-01,4.107788047,32.15,3.611043529,23.38,9329301.25537727,278316000.774356
2021-02-01,2021-03-01,3.149252517,5.328235218,2.760211917,4.088582865,2436349.393638521,82524920.3027739
2021-01-01,2021-02-01,1.365769616,6.500465436,1.146206862,3.149757524,1658658.7684965061,48896717.380792305
2020-12-01,2021-01-01,1.294462357,1.754548107,1.20856402,1.379202143,112796.17154025297,31006611.39987202
2020-11-01,2020-12-01,1.6541221,1.736150683,1.059203416,1.293749142,26117.784291913835,30081702.972365562
2020-10-01,2020-11-01,2.990293499880481,2.9943448388253664,1.625396787,1.653274459,26137.682985594223,48524582.198000595
2020-09-01,2020-10-01,3.298838085,3.93444792,0.8927805,2.990293499880481,999859.3722869613,63143012.21659583
2020-08-01,2020-09-01,2.187031733,5.106983884,1.766442265,3.300617577,1685827.0088852101,59495151.38794717
2020-07-01,2020-08-01,2.016398729,2.4834468,1.471769222,1.847035958,696986.0037598587,14802270.14910179
