Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,0.8107830959175394,1.090100892064647,0.5009990640311154,0.7452884860012114,60451286.30907926,68773836.51710522
2024-07-01,2024-08-01,0.8812729340482612,0.9253081308756832,0.639322847719802,0.8141430263471177,22923236.615966223,78044426.88183548
2024-06-01,2024-07-01,1.1450690950543998,1.5154405596740657,0.8002818296919846,0.8830971184497725,42409504.57603686,95877845.18938966
2024-05-01,2024-06-01,1.0052707004327452,1.1998594577971815,0.9245014088592935,1.1500837110358642,30983509.953723874,101541245.5706664
2024-04-01,2024-05-01,1.9092205771147366,2.0006238250944954,0.8441665333419239,1.0031788125715886,123904812.58103657,122886561.40182859
2024-03-01,2024-04-01,1.6681121542489739,2.1294614832600054,1.2619992777150055,1.9317821345895683,74210993.10472535,154450997.6313213
2024-02-01,2024-03-01,1.2669072153083172,1.7935387647389418,1.2368243666244263,1.6648345862024214,33918749.52961673,136721994.76736352
2024-01-01,2024-02-01,1.4817223461924351,1.654560326953062,1.1353760727224074,1.2637659052298544,51895076.4440331,124508872.48954703
2023-12-01,2024-01-01,1.4311685119903776,1.6804221982902383,1.2539726974239964,1.4768593555566805,69288469.25421058,136797585.74440038
2023-11-01,2023-12-01,1.6410514678401082,1.8714810081266346,1.2857689442938278,1.4289924763397566,72387460.49487579,140633796.94151205
2023-10-01,2023-11-01,0.9144071583962471,2.2709444619313084,0.9104981556128604,1.6498607581033438,236740702.9164604,134394356.9352679
2023-09-01,2023-10-01,0.8064592253504773,0.9591506587776084,0.7367189768073695,0.9183778244888634,24666625.946110535,77534237.11810575
2023-08-01,2023-09-01,1.057281820694147,1.1402913938292143,0.686889108340202,0.8055700243399376,35457739.627744205,85340088.49158844
2023-07-01,2023-08-01,0.922862375704052,1.700028135981447,0.8762720147406913,1.0596493793767714,124133256.60446021,98394339.9213624
2023-06-01,2023-07-01,1.1793714846049113,1.2708864308376913,0.7638461806210646,0.9227552207473013,30426581.279753286,89880267.07644795
2023-05-01,2023-06-01,1.7609473873822759,1.833481010012736,1.1238360548911193,1.1819415590112208,43267422.38264675,125227604.73883925
2023-04-01,2023-05-01,2.1283399931928257,2.639504809265704,1.6835548581806612,1.7682829837132372,109300107.91683248,196164887.18379793
2023-03-01,2023-04-01,2.1804375067758355,3.781857087222188,1.6058407860259032,2.1331840628413272,294880511.1687033,200432080.10018933
2023-02-01,2023-03-01,0.6979683400548863,2.8024971481207106,0.6436702372009331,2.2094481446751573,4637297.281457865,75667442.34041066
2023-01-01,2023-02-01,0.5902721984390461,0.7167342114938458,0.559785505811677,0.6943604406503927,479580.34879958176,52189302.14800279
2022-12-01,2023-01-01,0.6188936783500291,0.6585253647253559,0.5609413240121142,0.5890151781432822,421113.8390458097,50007702.45942764
2022-11-01,2022-12-01,0.7391323999785463,1.0651474177323774,0.5334005200006198,0.6193919116174921,848828.9025515788,54586562.132178366
2022-10-01,2022-11-01,0.735138999174469,0.8622406304825174,0.7006105722621443,0.7391323999785463,598755.6719683821,60851598.406016834
2022-09-01,2022-10-01,0.9159046760455944,0.9474003540117848,0.7069924318924108,0.7366820646774296,866712.0578280049,68114441.6502119
2022-08-01,2022-09-01,0.8942992732039177,1.6108448362911687,0.8780586703432941,0.9130736078866692,1875343.6916885355,79400778.363091
2022-07-01,2022-08-01,0.9824865783064616,1.0928815060343395,0.8805023140908104,0.8942992732039177,1061360.0942259885,75381178.90251258
2022-06-01,2022-07-01,1.3150396614855075,1.6687830116782596,0.7126189023902448,0.98316350782767,1801425.6408595564,79263895.33365741
2022-05-01,2022-06-01,1.5597900650185983,1.9475076369436863,0.8694551516969239,1.3150396614855075,1640644.737040773,106052923.0036505
2022-04-01,2022-05-01,2.8499357675826062,3.090740746619495,1.5580562227026913,1.5597900650185983,2800953.987417649,94652829.8828918
2022-03-01,2022-04-01,2.375868995014062,3.501451619710625,2.26020378529828,2.8499357675826062,1841874.8802180795,45716065.93143456
2022-02-01,2022-03-01,3.3127796961210914,3.3127796961210914,1.8216230826927653,2.375868995014062,1889997.8556978877,43766339.73789927
2022-01-01,2022-02-01,4.946631755169258,8.306748568094953,2.830703642321467,3.3127796961210914,3291680.0685389196,68691827.61833298
2021-12-01,2022-01-01,10.217350836609675,10.290846231484311,4.53117882060466,4.946631755169258,756830.0719218976,90227316.81151175
2021-11-01,2021-12-01,6.495542662452229,15.80248369386605,5.657731012761174,10.126542683192978,3732333.698994546,138681196.2045965
2021-10-01,2021-11-01,4.725330261032256,7.737140037936647,4.549372424255615,6.4886349808474515,762302.0951507285,62891510.98989562
2021-09-01,2021-10-01,5.455384481886006,6.888018708945986,3.7958187511244987,4.725330261032256,728966.0369499258,50720740.792727426
2021-08-01,2021-09-01,6.041008422589226,10.12490694590615,4.893191940225601,5.455384481886006,923018.7125575469,39175122.28938537
2021-07-01,2021-08-01,6.098506171810756,7.156384668050804,3.1779840459535995,6.041008422589226,526494.5301400117,23393861.953229386
2021-06-01,2021-07-01,17.95429314440304,17.95429314440304,4.742745789752366,6.098506171810756,753786.9342963191,46897971.69154214
2021-05-01,2021-06-01,25.997931145489556,29.57904577947933,6.672526860399198,17.95429314440304,3524905.784038894,63369251.484914884
2021-04-05,2021-05-01,9.180298654407835,100.9054762417967,9.180298654407835,25.997931145489556,4863552.048967694,47031863.69654781
