Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,17.4605,18.5632,12.7417,15.3994,4165592.254645126,23821610.784213495
2024-07-01,2024-08-01,17.2215,25.6514,17.0068,17.3682,13089754.002363974,29319244.213086423
2024-06-01,2024-07-01,21.7069,22.743,15.7082,17.3281,8077474.682027649,28132350.669663936
2024-05-01,2024-06-01,20.3661,24.4051,18.8552,21.7138,12485382.065766547,31481543.703723866
2024-04-01,2024-05-01,27.2089,30.5575,19.264,20.2889,16219728.056732276,34583870.88940264
2024-03-01,2024-04-01,19.899,34.4012,19.4276,27.1189,18758952.884986334,35331240.68482706
2024-02-01,2024-03-01,16.6202,20.5851,16.2048,19.7196,1452248.1662020907,26723728.90046458
2024-01-01,2024-02-01,20.9888,22.5744,16.4134,16.5826,3366023.1196646336,27500504.546820562
2023-12-01,2024-01-01,15.0469,28.8792,14.4597,20.9841,7519440.257621636,25866105.90003626
2023-11-01,2023-12-01,16.1793,18.5296,14.2872,15.0401,2438635.6411307617,23365851.32822722
2023-10-01,2023-11-01,15.2089,18.8143,13.599,16.1676,3060012.686351515,22447128.308872413
2023-09-01,2023-10-01,15.1291,19.8342,12.9717,15.2414,3552048.0977885216,21346893.713439982
2023-08-01,2023-09-01,21.0332,21.8229,14.9829,15.1618,2377865.808455644,25249233.900180608
2023-07-01,2023-08-01,16.9991,22.6325,16.4201,21.0778,867709.4125407937,26273793.33427815
2023-06-01,2023-07-01,18.1807,19.4765,14.6575,16.9974,1424142.3168082903,24957528.197287764
2023-05-01,2023-06-01,20.6949,26.2197,17.5458,18.1779,2110883.870474374,28352103.25347032
2023-04-01,2023-05-01,21.1384,23.95775978563107,20.0251,20.663,1187377.5694720666,32109190.739135176
2023-03-01,2023-04-01,24.874,25.9749,19.1968,21.1384,1250113.7157666443,32711702.125668894
2023-02-01,2023-03-01,23.6528,28.1866,21.918309306675024,24.8719,1773954.380331382,36644323.39572625
2023-01-01,2023-02-01,19.0095,24.8377,18.8766,23.6293,1199520.5067311684,31290221.72810637
2022-12-01,2023-01-01,21.0033,23.9531,18.5847,19.0095,1630314.4216224824,29784452.212760337
2022-11-01,2022-12-01,24.203693245011387,27.5042,18.1189,21.0484,4226754.666769587,30834600.277811293
2022-10-01,2022-11-01,19.3744,48.9772,18.1652,24.1061,19083201.71490444,32254940.77723343
2022-09-01,2022-10-01,23.0024,24.87549435996661,18.8373,19.3744,3723315.709745411,32063072.352171265
2022-08-01,2022-09-01,27.3931,33.3274,22.5688,23.0187,4902318.544925611,39516089.15274724
2022-07-01,2022-08-01,23.8678,30.3363,22.6743,27.3969,5264751.282209867,37389208.394745715
2022-06-01,2022-07-01,28.527,35.7437,17.6524,23.8088,11323279.757861953,36233109.77202794
2022-05-01,2022-06-01,49.4067,62.873,22.061,28.527,10023208.951903457,51946424.34672121
2022-04-01,2022-05-01,59.6687,67.68804517525244,49.3191,49.4067,7965963.559281967,83355425.25480048
2022-03-01,2022-04-01,57.5747,70.5741,50.29600968995175,59.724,13033461.966123844,82689228.81746951
2022-02-01,2022-03-01,56.5405,68.8966,44.818392587222,57.1883,8613896.339582996,84241092.72347361
2022-01-01,2022-02-01,88.791,108.8233,49.9476,56.5405,24884115.32530814,107348002.58067787
2021-12-01,2022-01-01,104.6141,129.1353,76.8609,88.791,21590599.739510696,132068817.53465949
2021-11-01,2021-12-01,131.1428,144.2147,97.0264,104.7387,12037531.899081977,179302071.09833533
2021-10-01,2021-11-01,138.9399,168.6594,125.4912,131.1514,23739705.114478275,200746464.35379905
