Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,4.0752651975260595e-7,4.91595370525746e-7,3.624793601355382e-7,4.4988911208035523e-7,21565641.811707348,0
2024-07-01,2024-08-01,4.48471589366357e-7,4.5638466052009187e-7,4.0710098315099946e-7,4.0727383340063653e-7,20034784.616188727,0
2024-06-01,2024-07-01,4.548624203942203e-7,4.6356271490282357e-7,4.1945717629741757e-7,4.4815191435959424e-7,33063667.403057225,0
2024-05-01,2024-06-01,4.7550424635927187e-7,4.977569850830346e-7,4.4846589982705715e-7,4.5498081235803293e-7,19699031.711454704,0
2024-04-01,2024-05-01,5.768527034723478e-7,5.776625828622629e-7,4.340786321571788e-7,4.7561158167876077e-7,23692493.102827556,0
2024-03-01,2024-04-01,4.956980777118192e-7,7.345174500544386e-7,4.947719517461619e-7,5.767235643325095e-7,56752844.30552476,0
2024-02-01,2024-03-01,4.009527320919669e-7,5.0668914751957e-7,3.9851892630865e-7,4.956038121624945e-7,31377676.7524971,0
2024-01-01,2024-02-01,4.4525861471788494e-7,4.6583113408906765e-7,3.813606393965914e-7,4.000634356248739e-7,22733181.586260885,0
2023-12-01,2024-01-01,3.241691045429904e-7,4.759677283694705e-7,3.223847229670724e-7,4.4571092275692653e-7,25744818.023223482,0
2023-11-01,2023-12-01,3.4598309171578553e-7,4.25044466e-7,3.1705546601535266e-7,3.2420656044714184e-7,20279028.46566372,152293590.42981455
2023-10-01,2023-11-01,3.301559840131324e-7,3.4653788853291564e-7,3.038723484935189e-7,3.459670240027053e-7,10776913.838278027,319712072.787663
2023-09-01,2023-10-01,3.136895297339122e-7,3.325946187101225e-7,2.9997011080838144e-7,3.3020683124161793e-7,7945919.482491152,310296101.4221825
2023-08-01,2023-09-01,3.232779479748994e-7,3.3787504143238667e-7,3.0224172242132185e-7,3.1323043618242755e-7,12721289.474827765,179709056.98085487
2023-07-01,2023-08-01,3.41953228787976e-7,3.7495106062915933e-7,3.2287206555402996e-7,3.2339461494140067e-7,9043251.115234088,94687620.1902735
2023-06-01,2023-07-01,3.603119648692251e-7,3.8122012306918104e-7,2.9739878420202364e-7,3.423058869853101e-7,8185501.842961131,92738299.50397596
2023-05-01,2023-06-01,3.689727123355666e-7,3.778400798475683e-7,3.5207117338427383e-7,3.5998151408264385e-7,9360555.658436298,101355872.86266392
2023-04-01,2023-05-01,3.810005049866595e-7,3.9747058626191787e-7,3.6018152804331e-7,3.689727123355666e-7,10843020.874320336,104596117.02538517
2023-03-01,2023-04-01,4.855284368034074e-7,4.953768656184547e-7,3.751295039540816e-7,3.8132583113646956e-7,7115687.156623186,117761172.03772044
2023-02-01,2023-03-01,4.6520814998602955e-7,5.267826812577466e-7,4.612536434460935e-7,4.855284368034074e-7,10479358.840157693,136291669.29367805
2023-01-01,2023-02-01,4.340280638266877e-7,4.819521970467862e-7,4.0052403766278536e-7,4.638433639052662e-7,8734730.644102963,123592156.41779667
2022-12-01,2023-01-01,4.792417018202205e-7,4.979749755641084e-7,4.3100985199222433e-7,4.340280638266877e-7,16304230.496414669,127465172.00237232
2022-11-01,2022-12-01,6.203749087991256e-7,6.549021139593292e-7,4.412307965347091e-7,4.792417018202205e-7,25044886.73668488,145780097.27260807
2022-10-01,2022-11-01,4.99892407496171e-7,6.674613560979539e-7,4.958725500877001e-7,6.203749087991256e-7,30043246.51593387,160268475.1938539
2022-09-01,2022-10-01,5.803338900097691e-7,5.917307792189012e-7,4.91369785137197e-7,4.99812437545763e-7,19490357.42243888,153495987.60221058
2022-08-01,2022-09-01,6.224448454572658e-7,6.656785784033735e-7,5.636465277694363e-7,5.803338900097691e-7,25249835.09835499,169546071.66781655
2022-07-01,2022-08-01,6.025854457532992e-7,6.993751520209688e-7,5.673627271006211e-7,6.228413546877676e-7,26565222.985644136,178293619.5751031
2022-06-01,2022-07-01,8.303975212861433e-7,9.779480403989724e-7,5.161930612193745e-7,6.037516889245884e-7,27574514.515994996,199223700.39762032
2022-05-01,2022-06-01,0.000001410713570827627,0.0000015435910018646248,7.044780480158987e-7,8.303975212861433e-7,91905484.790706,273851128.35884947
2022-04-01,2022-05-01,0.0000018827679124247253,0.000001960926185648782,0.0000014104385191360485,0.0000014104385191360485,92308721.7129363,463343186.3053838
2022-03-01,2022-04-01,0.0000017875339576252525,0.0000021102571504295877,0.0000014917021132900643,0.0000018814440065412929,56290377.99101461,457491178.4064495
2022-02-01,2022-03-01,0.0000020102160038955395,0.0000025380837777487727,0.000001577693678691044,0.0000017875339576252525,62073486.806097046,558939937.2765381
2022-01-01,2022-02-01,0.0000027466524186832425,0.0000032943811761909264,0.0000017050125651028088,0.000002006083436683496,127942570.24181423,701739649.4366359
2021-12-01,2022-01-01,0.000004098091561916949,0.000004238895951685803,0.0000024920059822020185,0.0000027494475055750127,199290453.21622026,836929003.4503644
2021-11-01,2021-12-01,0.000004931964756711661,0.000005987711788371687,0.000003697531371744109,0.000004123823558814911,241543594.1168257,121768548.72635764
2021-10-01,2021-11-01,0.000002712754924722555,0.000006208762714665425,0.0000026888020622002467,0.0000048953558816685175,226485797.48815832,69841037.51795119
2021-09-01,2021-10-01,0.0000024751071449910543,0.00000763442258383033,0.0000023615814874695835,0.000002712754924722555,342263102.2168156,73953635.71010664
2021-08-01,2021-09-01,0.0000022401408230379605,0.00000329357801353149,0.0000021567815072516406,0.0000024755610968511605,165192525.0162732,48314290.94140375
2021-07-01,2021-08-01,0.0000027617067017850088,0.0000028393089409982126,0.0000015154900895129334,0.0000022401408230379605,124636455.64126976,46674786.4829985
2021-06-01,2021-07-01,0.0000036263488774371017,0.000004609071476395479,0.0000022307304766005604,0.0000027617067017850088,171517684.21529174,48732202.77772338
2021-05-21,2021-06-01,0.000004233112327332244,0.000004364035081842157,0.000002797817322164716,0.0000036263488774371017,433551370.5101707,0
