Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,13.8027,20.4599,9.599261807474441,14.7786,61170338.26269539,94008732.95640485
2024-07-01,2024-08-01,17.3085,17.5675,11.7066,13.7676,13428528.176011277,98241319.78193691
2024-06-01,2024-07-01,27.7892,29.3083,16.3298,17.3163,9752660.27458694,152654987.77138358
2024-05-01,2024-06-01,22.6266,30.6196,21.4177,27.8101,15717607.39830139,177537735.2014373
2024-04-01,2024-05-01,36.8925,37.1363,19.4793,22.6776,18569910.06234017,181357964.79351494
2024-03-01,2024-04-01,31.3205,54.0907,30.837,36.901,45392729.37566571,235477151.11818558
2024-02-01,2024-03-01,20.3123,36.8157,19.6658,31.1773,98822527.10185833,174525559.20394892
2024-01-01,2024-02-01,20.4306,22.4692,15.8142,20.2713,47182948.81968642,115990516.69675526
2023-12-01,2024-01-01,15.6439,21.6901,14.5728,20.4499,30385490.691111922,101809016.83720148
2023-11-01,2023-12-01,13.831,17.1358,13.3988,15.636,21234715.221717477,93005853.20437753
2023-10-01,2023-11-01,12.6146,14.8493,11.4769,13.8699,15259797.359087069,79277462.31146473
2023-09-01,2023-10-01,10.9926,25.1983,10.8073,12.6411,154536025.43146905,83912027.57612488
2023-08-01,2023-09-01,13.526,13.8422,10.506,10.9909,5066891.50677714,77771822.95314024
2023-07-01,2023-08-01,13.46,14.9972,12.4041,13.5381,9102720.852187438,84181192.2487233
2023-06-01,2023-07-01,14.4303,19.738,11.2377,13.4936,3872279.9105277094,82773011.11396787
2023-05-01,2023-06-01,16.6621,17.9086,13.066,14.4291,4501586.743245647,92687530.74134392
2023-04-01,2023-05-01,19.2856,20.037658349573803,16.4474,16.6621,3663886.4666920057,109328807.9317973
2023-03-01,2023-04-01,20.9843,22.9995,15.2814,19.2856,7242111.013492629,109624883.11771555
2023-02-01,2023-03-01,16.4791,26.8476,16.4346,20.9736,17116489.978143882,117475861.84251352
2023-01-01,2023-02-01,12.3167,18.2579,12.2717,16.4791,6613851.021842197,89738300.49316604
2022-12-01,2023-01-01,11.8547,20.4111,11.5637,12.317,14990185.846218841,77389190.87918298
2022-11-01,2022-12-01,15.2019,16.9319,10.3652,11.8568,4566971.577855321,74295290.02630341
2022-10-01,2022-11-01,14.8324,19.836782545614216,13.8622,15.1806,11105386.485106839,87894924.34217165
2022-09-01,2022-10-01,17.5572,19.4046,14.4361,14.8307,7524917.817172209,97920743.43590659
2022-08-01,2022-09-01,21.0381,24.1025,16.6192,17.5828,41240310.80870946,117153104.88525935
2022-07-01,2022-08-01,24.59534225719976,30.2455,13.993771363538674,21.0976,83013531.23427172,101003590.1610421
2022-06-01,2022-07-01,12.8077,33.150034408046665,7.236829108828141,24.73417632758488,23901985.644761346,61422566.44352994
2022-05-01,2022-06-01,23.5921,24.3513,11.2664,12.7876,11251805.24844824,93511006.66689572
2022-04-01,2022-05-01,31.1582,33.3084,23.5592,23.5592,15122664.631189194,163131213.22580302
2022-03-01,2022-04-01,30.9576,33.7353,26.8533,31.1582,12554169.434000317,173146922.08513647
2022-02-01,2022-03-01,25.2426,35.5895,22.6644,30.9181,30577883.196223643,166842433.78018707
2022-01-01,2022-02-01,31.4545,33.5344,19.083,25.2426,16740314.724897292,161494600.71696123
2021-12-01,2022-01-01,39.8867,45.85925464399407,30.4689,31.5698,13658326.556052072,204208298.25076988
2021-11-01,2021-12-01,43.0823,46.6264,37.3584,39.8885,15924181.46990173,389348748.22508615
2021-10-01,2021-11-01,41.2683,48.70731695250016,40.2452931351757,43.0823,24339622.793917015,446976103.0820642
2021-09-01,2021-10-01,44.0223,60.7658,36.3949,41.2683,38196715.70596344,451063821.31746244
2021-08-01,2021-09-01,38.54,52.79,36.96,44.1265,26466437.50850464,365693703.8260651
2021-07-01,2021-08-01,36.12,40.43,27.03,38.65,20284709.987845,166392938.10341865
2021-06-01,2021-07-01,52.36,55.65907265106732,24.08,36.19,24495774.047533028,194225279.24095687
2021-05-01,2021-06-01,69.57,93.74132703,28.09,52.36,54481210.05625054,282521881.77885467
2021-04-01,2021-05-01,52.14,90.81,50.24,69.57,47145159.99610376,332227905.0168787
2021-03-01,2021-04-01,39.458977836,65.45,37.701066997,52.14,41944663.027838625,215870148.98945594
2021-02-01,2021-03-01,26.976801741,53.468157002,26.429538095,39.458977836,44940489.054299064,171926659.31902486
2021-01-01,2021-02-01,22.390519879,37.307781174,22.270510028,26.951151026,17500701.696448356,120317123.75924465
2020-12-01,2021-01-01,33.580907471,35.031580646,21.566407013,22.517326416,16801404.19006326,122145005.09241495
2020-11-01,2020-12-01,23.331065427,40.058530964,22.162149853,33.634938021,18672409.43996517,108019120.61345509
2020-10-01,2020-11-01,30.839722746,34.865424216,23.043664517,23.331065427,10747788.992014471,90444989.88550568
2020-09-01,2020-10-01,55.02245634,55.168996705,28.836859068,30.839722746,19179467.338696335,108907494.68227872
2020-08-01,2020-09-01,19.764840672,67.261918864,18.43133002,54.529716419,16184367.850963196,104742479.61635548
2020-07-01,2020-08-01,21.781210807,23.250908582,19.018308385,19.370389008,852043.3973013405,55585549.630855896
2020-06-01,2020-07-01,23.260444615,30.980833673,7.108584778,21.787929198,633208.0199884146,62816937.02895691
2020-05-01,2020-06-01,20.720663402,54.280552191,6.502346908,23.475777827,1280726.6756895327,63432730.874493904
