Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,2430.4569,2526.408,2351.5702,2500.7586,12246522.54593691,453817904.4692963
2024-07-01,2024-08-01,2312.9043,2465.1388,2304.6251,2429.9154,7867584.401332487,437583570.77672523
2024-06-01,2024-07-01,2329.7435,2372.8734,2282.5209,2312.1489,4606495.698325278,427061179.2544676
2024-05-01,2024-06-01,2302.8716,2427.4544,2277.4237,2330.9338,6746959.904181185,431041716.28037894
2024-04-01,2024-05-01,2224.4698,2921.4477,2215.2476,2305.7497,16204053.955907645,429180556.64138055
2024-03-01,2024-04-01,1998.7429,2222.2493,1995.5177,2222.2493,11702777.031324137,398569092.82080275
2024-02-01,2024-03-01,2023.805,2037.6875,1976.8651,1994.5676,6470069.759698024,409663697.01207906
2024-01-01,2024-02-01,2030.0714,2045.9415,1988.4628,2020.9832,5910251.300849302,424819442.2789633
2023-12-01,2024-01-01,2017.6842,2081.5852,1955.923,2030.5286,6773597.657666032,454189673.3840017
2023-11-01,2023-12-01,1967.5573,2026.8158,1914.6763,2017.6319,7978647.2456799485,465392314.86988646
2023-10-01,2023-11-01,1869.9273,1992.8206,1822.9179,1967.0396,7898977.091777727,474355217.99120295
2023-09-01,2023-10-01,1919.6011,1934.5037,1865.9654,1869.8177,3284168.5792366564,473635809.10298043
2023-08-01,2023-09-01,1953.8239,1953.9297,1866.4812,1920.205,5177641.54434666,475666268.88015306
2023-07-01,2023-08-01,1903.2984,1964.7601,1888.2144,1954.1117,6305913.094097741,485695530.41442716
2023-06-01,2023-07-01,1969.9432,1986.2052,1889.2756,1903.5721,8565377.464084303,499252121.521098
2023-05-01,2023-06-01,1994.5308,2050.4905,1950.6687,1970.1231,9526021.480139233,538671972.3447734
2023-04-01,2023-05-01,1974.6947,2051.1289,1963.4078,1994.8143,13264608.490410635,542845628.6138128
2023-03-01,2023-04-01,1808.8254,2012.613,1805.1043,1975.2264,38310638.60314544,542085806.4697506
2023-02-01,2023-03-01,1902.2482,1924.6544,1762.7261,1807.8318,13832102.693112409,597775088.9537771
2023-01-01,2023-02-01,1821.4511,1929.7474,1817.7366,1902.2482,10892495.339889903,611927352.2074292
2022-12-01,2023-01-01,1762.9716,1824.0922,1762.7004,1821.4511,9802543.845066931,584253827.0725595
2022-11-01,2022-12-01,1628.75,1817.0327,1613.7765,1762.9716,33520189.601623353,558406026.3666207
2022-10-01,2022-11-01,1656.2198,1721.5229,1613.363,1628.7849,8675863.033010736,539258603.2426584
2022-09-01,2022-10-01,1703.6664,1730.8979,1609.3877,1656.3127,14573228.383874012,546652184.1365421
