Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,69.0345,72.2177,50.691,62.5843,21211105.45406765,781982472.8682711
2024-07-01,2024-08-01,77.4548,81.3784,64.3951,68.7728,21482576.996956393,891772524.0490085
2024-06-01,2024-07-01,90.5324,92.6931,70.2129,76.8136,23826394.746206596,995045141.9590874
2024-05-01,2024-06-01,100.1426,106.8879,89.4049,90.6823,26379813.891441636,1168310614.37304
2024-04-01,2024-05-01,132.5581,133.1846,85.2449,100.1451,43420397.15587524,1347044029.8514543
2024-03-01,2024-04-01,115.102,148.2901,107.1529,132.3849,90116165.5079743,1544841113.068133
2024-02-01,2024-03-01,102.6701,116.3093,100.1289,114.8795,38112855.6308943,1274140945.2351916
2024-01-01,2024-02-01,137.8481,144.6337,100.6138,102.7086,38532925.49542683,1413382876.5893946
2023-12-01,2024-01-01,100.1493,153.5131,99.2208,137.96,57087842.20355395,1399349286.0343814
2023-11-01,2023-12-01,103.2033,112.1288,95.7958,100.0537,40410993.553164326,1225372973.4509726
2023-10-01,2023-11-01,90.8759,110.5651,84.4021,103.3214,27093958.65897356,1112889981.7927907
2023-09-01,2023-10-01,99.9398,101.6554,85.3824,90.7833,23190397.33674547,1136696915.1688504
2023-08-01,2023-09-01,108.6971,109.6476,92.925,99.7394,30118597.216637395,1228483078.1868935
2023-07-01,2023-08-01,107.7166,113.8827,99.2024,109.1516,33550630.41772741,1261050420.302077
2023-06-01,2023-07-01,116.9973,119.6069,96.0801,107.3755,50885837.58337375,1292885659.1766999
2023-05-01,2023-06-01,115.5778,117.9629,96.7673,116.6924,30845862.021788232,1291699472.863294
2023-04-01,2023-05-01,124.9452,127.8638,106.7864,115.823,45099216.66338998,1428371378.7203388
2023-03-01,2023-04-01,126.2519,134.1019,106.5208,124.9452,50342637.80936569,1504996163.8997898
2023-02-01,2023-03-01,142.2371,151.2858,124.3862,125.9945,51647275.50260018,1657325947.5077186
2023-01-01,2023-02-01,105.6013,161.8737,104.7477,142.2371,48490105.249619864,1572709738.7744973
2022-12-01,2023-01-01,123.9435,132.6206,101.6216,105.6013,28442192.010724008,1395536789.4251566
2022-11-01,2022-12-01,166.9663,167.94774865523095,94.7535,124.2442,62945756.86492017,1548770445.2553287
2022-10-01,2022-11-01,141.85764431910835,225.1099,128.9176926096647,167.3088488343182,105344353.3658563,1964926197.0510108
2022-09-01,2022-10-01,96.3968,146.4923,87.4156,142.10675456053542,44140138.35246918,1284163879.5910218
2022-08-01,2022-09-01,102.6506,132.9237,92.4537,96.2713,34268336.895997144,1339700855.4410338
2022-07-01,2022-08-01,53.1806,114.247,52.0951,102.9496,45667503.763978705,1030499823.469082
2022-06-01,2022-07-01,71.2114,72.7239,40.9746,52.51562237565626,29994849.15947643,699876462.120051
2022-05-01,2022-06-01,92.938,103.5298,48.2351,71.7426,38815896.4769305,913926819.3942348
2022-04-01,2022-05-01,137.7637,145.231,93.0394,93.0813,28067010.8858691,1419160873.376997
2022-03-01,2022-04-01,115.772,153.8824,107.1337,137.3426,35884598.01767419,1489636595.3764565
2022-02-01,2022-03-01,97.0075,159.3832,93.8885,115.7483,52984302.07976335,1479248163.3126938
2022-01-01,2022-02-01,179.0046,188.5227,85.6335,96.7987,52272020.765906245,1761843388.1231906
2021-12-01,2022-01-01,205.4619,225.74907037255903,149.9501,178.8802,71475219.99061456,2242378502.9991484
2021-11-01,2021-12-01,287.9983,312.4158827112108,196.1364,205.951,82448971.59956458,3049040140.367088
2021-10-01,2021-11-01,295.5927,343.8888,274.8305,288.61924912005014,84401558.13149661,3636800261.432046
2021-09-01,2021-10-01,184.7955,424.4305,183.0093,295.64032441080195,174337118.263687,3693984119.908712
2021-08-01,2021-09-01,135.18,208.6328,135.11,185.2269,67451106.60685487,2079627280.4524548
2021-07-01,2021-08-01,69.21,147.13,56.56,135.09,18715021.281608917,982296621.1717291
2021-06-01,2021-07-01,43.88,100.92,37.78,69.18,9970302.02936194,726791340.6896714
2021-05-01,2021-06-01,43.8,63.15,26,43.87,5283746.793879184,530768791.442427
2021-04-01,2021-05-01,40.95,45.72,36.25,43.27,3834807.4268517224,484285142.98144174
2021-03-01,2021-04-01,33.377194136,60.26,29.101976564,40.95,3849254.658587668,474344934.88794434
2021-02-01,2021-03-01,30.870572454,48.36116427,29.456983789,33.377194136,4919732.887989297,465587210.5044455
2021-01-01,2021-02-01,11.327621881,36.880946421,10.096627486,30.928301078,2616993.1636217753,219659976.85531375
2020-12-01,2021-01-01,12.492466135,13.911298875,10.412359575,11.379671104,1350617.1076049441,147907124.58326304
2020-11-01,2020-12-01,13.908962018,17.369220896,11.854553206,12.616289734,2444037.008052182,167761939.74811038
2020-10-01,2020-11-01,8.508548933,16.5251072,7.705815497,13.908962018,1578913.2816945184,133241666.98522654
2020-09-01,2020-10-01,9.409561512,10.778270586,7.232584626,8.508548933,24209045.459768325,105053574.98813185
2020-08-01,2020-09-01,7.069421909,11.984617655,5.062636795,9.44104493,2697341.5956740226,108157841.62864666
2020-07-01,2020-08-01,7.685469444,8.78541979,6.315471901,7.111239637,1263795.716523884,93590051.76202913
2020-06-01,2020-07-01,6.514279102,10.197165543,5.892133294,7.657504297,2486778.6406642343,89397851.68304732
2020-05-01,2020-06-01,5.093553853,7.396599486,3.613226436,6.572736693,9255359.694416635,61297778.96587007
