Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,65192.25867640816,65192.25867640816,50601.38403007076,59025.5096150409,422445.87120588997,0
2024-07-01,2024-08-01,62661.495863515716,69784.59174054602,53969.74999972828,65214.00398501722,429731.4750456495,0
2024-06-01,2024-07-01,67834.55531660307,71615.10886202057,59788.54184199486,62059.4331896156,401399.30415093375,0
2024-05-01,2024-06-01,60948.78670827884,74583.1830738387,57354.62573036211,67767.18496220985,577173.5674928973,0
2024-04-01,2024-05-01,70711.03279293033,72348.44287926983,59551.83878581793,59551.83878581793,719415.8418298813,0
2024-03-01,2024-04-01,60441.030451455495,72781.47718114831,60061.66535879712,70453.41833834034,1152429.8919903738,0
2024-02-01,2024-03-01,42485.73629266566,61975.935767261835,41966.63456013823,60488.12224662294,869019.5949996911,0
2024-01-01,2024-02-01,42112.23710984293,48546.07182180682,38753.909875533456,42347.297910626265,630002.5321195659,0
2023-12-01,2024-01-01,37556.356626377725,44381.71269085048,37556.356626377725,42360.59127883835,485844.5893136507,0
2023-11-01,2023-12-01,34124.96745728664,38030.12065786401,34070.360548456665,37565.073718506384,244092.89075371032,0
2023-10-01,2023-11-01,26749.879343580174,34727.98789566368,26339.151835624074,34101.533927712044,266121.26318636036,0
2023-09-01,2023-10-01,25967.338544295726,27330.9756194467,24911.41082115508,26777.753725259903,66495.15222731848,0
2023-08-01,2023-09-01,29077.44641971814,29935.98868410978,25551.784065627315,25952.923962324145,177519.71996413168,0
2023-07-01,2023-08-01,30206.50472999802,31237.274604473754,28881.90462074076,29095.962690643428,221874.92296043393,0
2023-06-01,2023-07-01,26972.684163498765,31058.9429739299,24927.23026152096,30210.933590894314,194670.80569284665,0
2023-05-01,2023-06-01,29298.729788919125,29571.900718368463,25849.2505914272,26944.778002177613,210259.34028975666,0
2023-04-01,2023-05-01,28561.17848279867,30800.612704071995,27131.842400945217,29331.522557183216,306443.2771796075,0
2023-03-01,2023-04-01,23213.172357846,28872.9823216761,19475.515233256378,28207.028864893422,975766.0274318124,0
2023-02-01,2023-03-01,23133.45685251293,25085.309391154333,21364.20353169125,23310.724641266526,565709.1231304802,0
2023-01-01,2023-02-01,16408.230395908766,23894.891236910964,16408.230395908766,22781.291498711453,197859.16964833558,0
2022-12-01,2023-01-01,17176.442623027804,18330.09120753659,16311.927271575536,16456.060926924445,239150.16345841705,0
2022-11-01,2022-12-01,20485.062818845407,21434.935300865298,15631.74565199441,17050.583767831562,126660.35187192961,0
2022-10-01,2022-11-01,19458.319619218222,20955.12041890674,18337.442864467208,20402.2619025546,14643.548502931351,0
2022-09-01,2022-10-01,20080.687837309655,22544.613962596566,18400.183505667952,19387.13302471722,10416.449451819451,0
2022-08-01,2022-09-01,23330.137164020714,24913.538806866283,19552.59285441154,20252.3351214088,16898.34979549906,0
2022-07-01,2022-08-01,19564.038643788892,33864.21051399211,18892.573112226695,23572.010688665672,42489.75294751781,0
2022-06-01,2022-07-01,31913.53893502948,31964.121372716014,17743.90946694346,18791.86569071574,81601.86284377828,0
2022-05-01,2022-06-01,37580.734486945345,39968.772705634416,26921.417906896368,31610.684459358108,39424.95751892595,0
2022-04-01,2022-05-01,45422.38463160103,46873.887945650284,37892.151405204655,38250.1037765564,68092.43108731626,0
