Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,63382.31,65615.76,48677.95,59047.92,1767.463523971362,19801054.008585542
2024-07-01,2024-08-01,62739.43,71323.68,52541.38,63253.89,1437.3269498008983,20711440.667707838
2024-06-01,2024-07-01,68552.63,74799.99,59217.4,62474.58,2555.814570945584,21877873.109475102
2024-05-01,2024-06-01,61273.73,74319.94,56994.45,68552.63,1715.1587462296359,20182745.999564458
2024-04-01,2024-05-01,67460.18,74459.53,58374.72,61431.45,2754.9455676018133,20126338.0383398
2024-03-01,2024-04-01,61010.53,75592.5,58288.71,67460.18,17380.06496255373,20445089.359518915
2024-02-01,2024-03-01,42529.66,63892.98,41886.49,61050.87,7949.516570267559,14919670.694192795
2024-01-01,2024-02-01,42474.09,48290.22,38528.49,42553.65,12487.889364786583,13077950.180640243
2023-12-01,2024-01-01,38062.25,45073.81,38004.76,42380.79,10282.526207709274,12955163.620166456
2023-11-01,2023-12-01,35187.38,38982.38,34707.53,38056.3,8319.263289191738,11184443.033578524
2023-10-01,2023-11-01,27606.51,35691.54,27021.27,35169.48,4759.791040819772,9136004.190663213
2023-09-01,2023-10-01,26688.19,28145.07,25619.56,27611.87,1888.0896783258324,8198222.309631359
2023-08-01,2023-09-01,29804.08,30654,25988.44,26719.9,1851.754353272223,8704184.08679202
2023-07-01,2023-08-01,31574.99,32956.94,29400.12,29822.11,2792.495412613996,9401866.306733696
2023-06-01,2023-07-01,28950.45,32233.54,25569.99,31574.99,2659.892565801408,8752744.350804584
2023-05-01,2023-06-01,30958.19,33742.15,27314.24,28949.79,36232.04043658054,8890886.432555186
2023-04-01,2023-05-01,31110.3005,36523.5037,28891.05,31020.39,25526.835854745677,96678227.81973575
2023-03-01,2023-04-01,24033.1836,36448.5266,20519.1956,31129.1293,166402.32518586915,95924821.63686633
2023-02-01,2023-03-01,24223.248,26418.5491,22271.4737,24066.7152,58987.98808322271,87114428.24466
2023-01-01,2023-02-01,18481.4603,26117.5928,18366.1997,24210.9957,48650.69302269777,77417685.48455723
2022-12-01,2023-01-01,17317.9676,21746.6802,16374.6529,18481.4603,119544.49412314632,63123783.158062465
2022-11-01,2022-12-01,20487.593,21455.493,15619.5543,17317.9676,3125254.896471547,63704143.55465744
2022-10-01,2022-11-01,19464.6258,21010.4411,18376.8634,20495.9689,2993358.881263045,70228469.10286938
2022-09-01,2022-10-01,20096.4849,22699.7105,18213.4984,19452.5727,2435253.6378586907,69154599.45892578
2022-08-01,2022-09-01,23363.9514,25928.1,19579.713,20074.6797,3578726.50644943,79496576.12878653
2022-07-01,2022-08-01,19787.1556,24586.5461,18985.6546,23363.9514,8456812.26501111,97750808.84354366
2022-06-01,2022-07-01,31842.9795,31877.0292,17611.213977510437,19709.6412,11439147.231318219,157646975.50669554
2022-05-01,2022-06-01,37640.1081,39895.2209,25790.6388,31842.9795,18197252.798956316,242685674.52955547
2022-04-01,2022-05-01,45625.1143,46907.4626,37635.5711,37640.1081,15975726.398855783,507614088.73773193
2022-03-01,2022-04-01,42291.4022,48109.7584,37243.3341,45612.2539,8285654.706680626,619287617.5576607
2022-02-01,2022-03-01,38296.6311,45336.5407,34350.7327,42299.4437,6221928.103797496,653843746.9115257
2022-01-01,2022-02-01,46045.6834,47834.0153,32986.1539,38296.6311,6866286.938298089,735302827.8241543
2021-12-01,2022-01-01,57069.3855,58678.9117,45441.5564,46241.7819,9586593.676505387,808778471.2813299
2021-11-01,2021-12-01,61487.94193026367,68572.86773129365,53474.6592,57087.101,11188630.501024151,1031068704.1805817
2021-10-01,2021-11-01,43708.6319,66657.39634681337,43265.1922,61469.02494519767,9822812.77846774,986909370.5249481
2021-09-01,2021-10-01,47390.6821,52741.4853,40044.1855,43708.6319,7306697.20488624,724864688.6793303
2021-08-01,2021-09-01,41467.45,50183.524,37533.46,47415.3976,3680835.5696672434,615330175.9878937
2021-07-01,2021-08-01,34835.54,41817.23,29514.83,41554.39,6744116.276081112,400267644.44629973
2021-06-01,2021-07-01,37178.82,40430.96,29948.09,34835.54,7694112.586990839,366187195.6893779
2021-05-01,2021-06-01,56957.43,59623.87,30169.8,37178.82,15229933.551851397,567389698.303601
2021-04-01,2021-05-01,58763.86,64636.97,47598.79,56957.43,13372208.575821359,699967290.4059163
2021-03-01,2021-04-01,45075.877084962,61365.67930715,45075.877084962,58829.66,16276154.171575168,750027132.047645
2021-02-01,2021-03-01,33086.400211436,58007.277031385,32387.683992808,45103.449436254,13609320.440046653,802409925.2387693
2021-01-01,2021-02-01,29042.919670945,41769.558725642,28906.453947167,33113.124099093,15688909.407589765,477410831.0690266
2020-12-01,2021-01-01,19696.694001382,29929.874831977,17639.804188748,29065.899995926,5872944.401238614,330549003.6462344
2020-11-01,2020-12-01,13729.203210881,19694.538377448,13238.83225947,19693.934421107,4531953.691263357,304499557.2486392
2020-10-01,2020-11-01,10738.157014435,13898.727404135,10321.747442757,13722.15836262,4058902.0770443706,249892360.55785513
2020-09-01,2020-10-01,11588.890482745,12153.813000226,9682.836241845,10732.324825667,8362760.001951008,0
2020-08-17,2020-09-01,11716.721712445,12611.962523488,11153.742577874,11601.082657273,5140556.705985793,0
