Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,0.017886651380055133,0.019977952905783723,0.012740963537783105,0.016263662090149344,17096878.255327366,229014516.1510323
2024-07-01,2024-08-01,0.019960668202627322,0.020557095179699447,0.014740301704361834,0.01788213055563947,16013798.967364255,259809104.93221426
2024-06-01,2024-07-01,0.02833430893427349,0.029522207847629236,0.01834008250961711,0.020002038949189307,19182224.21186917,326319894.02214235
2024-05-01,2024-06-01,0.028632848862746613,0.03269301052706088,0.02622559815377419,0.028393960199608503,36924977.239547044,409699263.2646994
2024-04-01,2024-05-01,0.04998345766411669,0.05268265786231842,0.026580338219612993,0.02876853071572399,138823298.35239336,493806351.4775869
2024-03-01,2024-04-01,0.025831354306548992,0.060723281380396225,0.022518008107560945,0.04999159109900129,175991008.67257914,415172144.74151677
2024-02-01,2024-03-01,0.01804086153497609,0.02725438950678843,0.017414708730759135,0.025831211969480856,29740457.30708478,284061691.61358887
2024-01-01,2024-02-01,0.021074326953633083,0.02287076768122794,0.01686603307227286,0.01796346376557623,17306279.42966028,261542571.04322734
2023-12-01,2024-01-01,0.01866345361028443,0.024788393523039225,0.018400933162519936,0.021037207843785464,31313834.723403312,287269762.788325
2023-11-01,2023-12-01,0.017100567165858886,0.021306302473374207,0.01611447761640687,0.018676010904062054,26026383.446063794,237353256.7730833
2023-10-01,2023-11-01,0.01526625360025083,0.01881747042737825,0.013473525443707852,0.01717341382599827,12673037.762424521,195590830.30184287
2023-09-01,2023-10-01,0.014913795422666251,0.0156794579598883,0.014036084381011511,0.015260220022848523,7476728.56312688,193630780.08048555
2023-08-01,2023-09-01,0.018275608961948922,0.018613496472813327,0.014470043661734861,0.01488335867782932,9418912.361368433,216079498.53407258
2023-07-01,2023-08-01,0.02006395178602154,0.0236403356059829,0.017692478070401127,0.018312807715841557,19456719.113345087,247919958.22683856
2023-06-01,2023-07-01,0.020665925036714043,0.02790972396872671,0.014665906118484284,0.020045894306523995,20550403.273116343,234436874.01131833
2023-05-01,2023-06-01,0.023780741016822284,0.02385239816295946,0.019766141715515727,0.02070895967361271,12427156.325228713,272496604.9917285
2023-04-01,2023-05-01,0.025885916793982607,0.02829769491506543,0.022828923336861096,0.023888419306897755,24380036.923331838,315880082.0072604
2023-03-01,2023-04-01,0.029439742551361687,0.03141710164139893,0.02079310288851454,0.025885916793982607,23990293.338691194,317534106.4711104
2023-02-01,2023-03-01,0.02822460259005032,0.03777491328615524,0.0269296275005878,0.029439742551361687,35722523.85828093,367357028.92395955
