Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,0.003486508917326862,0.0037584766043532994,0.002785500031063207,0.003301600506458865,2257611.4273915878,35351021.986184545
2024-07-01,2024-08-01,0.0031858840540175955,0.0039822709783732145,0.002680855793308588,0.0034937040744738523,3081580.7592463465,35394909.22191631
2024-06-01,2024-07-01,0.004385968921840297,0.00442037060935266,0.002872921371346104,0.0031835333302598773,231565.12028689447,38857102.70742947
2024-05-01,2024-06-01,0.0043148819885661695,0.007877843778556309,0.004078120229490336,0.004388860499880065,140928.05732578397,49380328.1839068
2024-04-01,2024-05-01,0.00585916137107085,0.006717756404856885,0.004036285863466897,0.004316360360247855,250568.14170936172,52949869.64401786
2024-03-01,2024-04-01,0.005107275767425737,0.007033892164276492,0.004860337977723665,0.005861337377558718,1285164.0756729518,61854375.686700106
2024-02-01,2024-03-01,0.0041535408112362395,0.005246829604586757,0.003982324516867114,0.0051060639948274245,1198643.5231126596,46642277.06178861
2024-01-01,2024-02-01,0.004889009692591827,0.005088504711491949,0.004019007885332345,0.0041438334894486825,592500.043205575,47486220.53418989
2023-12-01,2024-01-01,0.004608239493151693,0.005105158103023244,0.0042466308772001905,0.004893018963043558,753982.7800763875,49651336.29416517
2023-11-01,2023-12-01,0.004634941707303907,0.005467352505817915,0.004065418260008993,0.004617706100239349,649852.8728332723,50468261.64797021
2023-10-01,2023-11-01,0.0044487202936313325,0.004846936598143644,0.0039033528171248948,0.004654663767967901,708671.0309219913,44964321.61983772
2023-09-01,2023-10-01,0.0033971850747761055,0.005264254048053608,0.0032558445048517866,0.00446123264092818,1176686.1846866747,39663966.50335188
2023-08-01,2023-09-01,0.003798486291409299,0.004305660709506672,0.003101477300177076,0.003392262225440167,922269.1798373121,37727878.764546044
2023-07-01,2023-08-01,0.003325768556366954,0.007471403141420342,0.003306327203131074,0.003787788611561215,1518659.1423002428,38494695.70247054
2023-06-01,2023-07-01,0.0035333888738232648,0.004835934800114569,0.002920211654809882,0.003322109303995384,1324521.7828481512,33633152.33674115
2023-05-01,2023-06-01,0.004646653239136294,0.004646653239136294,0.0034947432889949766,0.0035365341685728567,1262547.9967818384,39614819.71229428
2023-04-01,2023-05-01,0.004521176805930388,0.005767675140532217,0.004338933282144305,0.0046568138501794365,1143175.3021423377,47624823.87410883
2023-03-01,2023-04-01,0.005211871905359753,0.0052450751862894406,0.003802082089297058,0.00452012747678068,304096.15628919215,45849774.52919961
2023-02-01,2023-03-01,0.004025038374031888,0.00580216579183462,0.003952331278343927,0.005211871905359753,484847.8642089133,48896818.52256654
2023-01-01,2023-02-01,0.0031214060165395074,0.00451856956283625,0.003081702120187642,0.004033314744535734,136409.35435690486,37123506.664863706
2022-12-01,2023-01-01,0.003779736879937445,0.004013961385675026,0.0029535976856765664,0.0031214060165395074,135334.1097235154,35717013.46897239
2022-11-01,2022-12-01,0.00481130379311083,0.004909489091262326,0.0031160517634991956,0.003789342169426858,801988.6140469552,37966925.68066508
2022-10-01,2022-11-01,0.0048885580680677835,0.0051194721026255555,0.004276205285397457,0.00481130379311083,1901394.0874279768,44729998.55599454
2022-09-01,2022-10-01,0.005870316953899426,0.005984423418038854,0.004796379027172689,0.004857836166568129,1746015.8807322301,50691316.82599953
2022-08-01,2022-09-01,0.005889621813067388,0.007901605626912426,0.0053027747816241245,0.005840440692149526,4497952.907507482,55802290.52345902
2022-07-01,2022-08-01,0.005050462569257637,0.007043769688059379,0.0048374533066809855,0.0058971883753420745,2808953.6425286275,48650019.895671174
2022-06-01,2022-07-01,0.00646009245210963,0.007058928186827312,0.004300917206110364,0.00503804265785522,3417828.4879585,50701528.934294954
2022-05-01,2022-06-01,0.008746274209824205,0.00949817728017839,0.004444026794598733,0.006489497914994108,4028730.1340265493,62368050.00933241
2022-04-01,2022-05-01,0.01038316675674808,0.02040397544940593,0.008761204383898973,0.008829542057818714,7196462.164964692,97197636.12834351
2022-03-01,2022-04-01,0.008251478868298518,0.010941837646901363,0.007217840903784646,0.01038316675674808,5637599.962902852,22509308.87783167
2022-02-01,2022-03-01,0.008030620745773721,0.009560306700326858,0.006551330169591646,0.008268725614533056,2513255.3150833976,0
2022-01-01,2022-02-01,0.010088648924424008,0.01200974342454096,0.006438059788245403,0.008030620745773721,5082454.940070052,0
2021-12-01,2022-01-01,0.01735389616325495,0.01909674191467457,0.009676381300102586,0.01013022823244895,7338345.842484488,0
2021-11-01,2021-12-01,0.013648212266722986,0.019724766705851125,0.01219600869563801,0.017431531363343675,13446217.784668073,0
2021-10-01,2021-11-01,0.009557155824027526,0.02135130601692843,0.009557155824027526,0.013648212266722986,9769015.088578923,0
2021-09-22,2021-10-01,0.00953555892487656,0.011148433759188446,0.008324463920314393,0.00955125189795427,6904276.050625036,0
