Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,6.773201467553766,6.777854349545648,4.228555597764879,4.518699573324043,53710.58646082948,50914559.825790055
2024-07-01,2024-08-01,6.97475562922869,7.562264368833077,6.770337947167506,6.771432043382533,84511.92657162124,70428343.16948134
2024-06-01,2024-07-01,6.610963572850781,7.53661030961675,5.461481155902601,6.980970805293893,81671.42414936215,61354999.529279545
2024-05-01,2024-06-01,5.877316339329046,7.999943940240134,5.48103619353121,6.681526473332126,83866.34652003484,68481224.49640678
2024-04-01,2024-05-01,7.490473601028857,7.493473849089922,5.309510289401439,5.8637793269716765,89407.29762648063,62117191.13144483
2024-03-01,2024-04-01,9.51662355845702,9.93780258622878,7.383939448853672,7.489791049061863,138205.14093466158,87881216.10666531
2024-02-01,2024-03-01,8.231350612709708,9.757462591294729,6.71955720493918,9.468158631690317,248214.9080907317,83667742.07282229
2024-01-01,2024-02-01,6.626194652250959,24.8847,5.732351648281973,8.214095854527038,280692.92082248477,91997310.15047911
2023-12-01,2024-01-01,10.5931,13.735,5.468435232337445,6.627052762925009,177958.18443123778,73316587.40812653
2023-11-01,2023-12-01,4.0006445758316795,41.4953,3.8709048946642457,10.5966,220099.95651836362,62672078.625554346
2023-10-01,2023-11-01,2.589817520825153,4.3065074462433595,2.435779849615068,4.001524581454468,52191.44357615034,31135285.299122266
2023-09-01,2023-10-01,2.7535397092133667,2.942175470003948,2.5254202159722707,2.5901069051124455,33896.778765153016,27591637.07607028
2023-08-01,2023-09-01,3.5618119565242674,4.030491139243589,2.6163102353845296,2.751383781590784,58520.685330428365,32640397.742299236
2023-07-01,2023-08-01,3.9770874017921005,4.5159333529308245,3.0764314261204193,3.5600859184462683,49657.62012722398,37457511.59441174
2023-06-01,2023-07-01,3.829760948019957,4.337752539176323,3.398609881771647,3.9684430374135746,109030.9925607642,37863670.84147875
2023-05-01,2023-06-01,3.7080197555019754,4.196657543870142,3.45492285312207,3.829213881671657,150308.22220337504,37105570.46801757
2023-04-01,2023-05-01,4.685588922936026,5.067580322463419,3.4756788855802054,3.7284404358865793,149659.48939430655,42364240.4004458
2023-03-01,2023-04-01,6.724224505072935,7.39026443356612,3.3926174442755452,4.69219991663024,172580.31270400333,49218400.24847709
2023-02-01,2023-03-01,6.718232629828335,8.053712710012636,6.320285830969518,6.697694171200712,386560.8074311968,71351311.38512981
2023-01-01,2023-02-01,4.85441044441508,7.851361425673911,4.659915835970899,6.710142798061778,271839.1462954757,57971069.54196977
2022-12-01,2023-01-01,6.029123919545246,6.439767034196803,4.194865503939644,4.857208035918229,281576.73021655716,49270248.90155296
2022-11-01,2022-12-01,8.334182500955688,8.79556771016192,4.812251566472476,6.029123919545246,272254.6228235257,64016430.32334383
2022-10-01,2022-11-01,10.3089,11.288,7.44669395378731,8.347819506433224,598782.1936274194,101984381.35729122
2022-09-01,2022-10-01,8.036595970520434,10.854,7.517463288536022,10.3326,429542.8323332338,89149461.85941908
2022-08-01,2022-09-01,13.3969,17.0371,7.582157980068633,8.036595970520434,323203.2670591015,114100236.53608489
2022-07-01,2022-08-01,4.964193416076672,13.9819,4.811876435765065,13.3969,396659.83296335,74814014.46168524
2022-06-01,2022-07-01,8.254566766093008,8.328195616207841,3.4917046341675757,4.948574511126222,481532.79893954104,57736137.278649345
2022-05-01,2022-06-01,6.104446360979523,8.77121495587136,3.91238277461008,8.256495081497853,812212.133697359,68701773.93202633
2022-04-01,2022-05-01,7.856926602960143,8.409534233711266,4.74950202336799,6.114552520768275,644425.1374804076,74034089.05387202
