Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,64755.3,65620.62,49471.68,58903.35,90908208.5342923,9353108184.585283
2024-07-01,2024-08-01,62733.57,69952.02,53771.45,64835.05,75765869.95756051,9759843025.759384
2024-06-01,2024-07-01,67584.45,71940.73,59181.7,62848.26,40825185.08148816,10282374250.276611
2024-05-01,2024-06-01,59560.44,71790.47,56337.05,67494.12,61543004.63338415,10078396945.772322
2024-04-01,2024-05-01,71294.22,72954.65,58169.12,59690.74,66036382.096798725,10197558703.110064
2024-03-01,2024-04-01,60622.7,73593.88,60137.02,71310.46,83084626.9189262,10423661918.221607
2024-02-01,2024-03-01,42575.62,63011.91,41883.9,60746.14,61830714.454239264,7671903546.149711
2024-01-01,2024-02-01,42292.6,48651.72,38553.71,42543.32,66642299.95769382,6785270168.574913
2023-12-01,2024-01-01,37740.38,44612.95,37675.99,42198.16,87308443.19283856,6643190126.56657
2023-11-01,2023-12-01,34575.85,38316.74,34168.39,37727.45,438985540.9171859,5937578268.16045
2023-10-01,2023-11-01,26971.23,35102.72,26521.23,34620.25,214776210.26594344,4827289314.969741
2023-09-01,2023-10-01,25993.37,27415.92,24948.46,26976.63,46565593.64345569,4285799093.643535
2023-08-01,2023-09-01,29031.85,29903.91,25641.18,25978.26,61139072.31832421,4493066817.000303
2023-07-01,2023-08-01,30291.32,31384.79,28042.84,29032.62,60893620.730357766,4684599499.648741
2023-06-01,2023-07-01,27255.55,31059.49,24918.58,30345.1,93317483.71196938,4326041228.972996
2023-05-01,2023-06-01,29263.8,30088.74,25879.99,27255.86,70342366.79121469,4269060087.8475537
2023-04-01,2023-05-01,28480.357477721773,31303.0508,27110,29291.76,115807943.88412835,4363830216.410835
2023-03-01,2023-04-01,23107.01365358205,29065.764,19632.77,28484.77312313944,219291766.13553682,4207188242.903611
2023-02-01,2023-03-01,23079.928,25156.5103,21413.0403,23115.628824354393,153488706.16631994,5258127313.842243
2023-01-01,2023-02-01,16500.195,23841.8481,16442.2882,23079.928,99454055.8703124,4506944381.572963
2022-12-01,2023-01-01,17160.626876867824,18258.0927,16321.0561,16493.5296,68027552.13164037,3821621375.984681
2022-11-01,2022-12-01,20489.129149914123,21463.219310158926,15507.083,17171.82887021849,212778001.5449126,4254109285.312832
2022-10-01,2022-11-01,19429.317794174873,21018.96188599231,18316.9222,20498.077729730307,150313819.02547562,4810469040.073861
2022-09-01,2022-10-01,20053.8422,22673.153721277544,18231.876767846712,19444.860838988032,219422845.28016305,4907915629.632833
2022-08-01,2022-09-01,23325.327,25132.892,19545.5716,20047.7067,226319031.94823927,5485526261.917866
2022-07-01,2022-08-01,19778.94,24587.109008431784,18967.05710232742,23347.9344,282965242.11737597,5251060468.289375
2022-06-01,2022-07-01,31778.967618159604,31927.90973465957,17649.123358586938,19684.3155,394293930.95294607,6675047091.704768
2022-05-01,2022-06-01,37660.89184601495,39901.5308,25682.5668,31848.973101933545,422195951.9161724,8992247559.980984
2022-04-01,2022-05-01,45536.265264451264,47294.3059,37660.44132360588,37682.66275116405,266164871.73428473,11601877363.50358
2022-03-01,2022-04-01,43220.5589,48130.82360838331,37237.25733078459,45548.6097902925,261433733.5051462,11381793596.460363
2022-02-01,2022-03-01,38496.46041515669,45596.4223,34399.33075274541,43209.6006,276757378.2982432,10664906294.961237
