Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,2448.6048,2536.4998,2374.7235,2504.835,7496697.732735631,609609682.0425968
2024-07-01,2024-08-01,2330.0396,2481.6682,2323.8534,2447.0885,15451389.002834285,590402812.9277139
2024-06-01,2024-07-01,2329.9314,2387.5417,2291.1378,2331.3811,9439768.65527706,574525255.8709677
2024-05-01,2024-06-01,2296.1322,2452.0141,2289.1729,2330.2969,9511968.68249129,579939160.3424435
2024-04-01,2024-05-01,2244.7093,2509.0836,2232.5341,2296.4553,11428309.437281169,576676308.7977338
2024-03-01,2024-04-01,2026.6922,2248.2842,2021.8437,2247.2464,12357292.11969446,530724104.52818656
2024-02-01,2024-03-01,2039.9587,2056.1423,1987.1327,2026.3212,8628718.238327527,499411019.68106854
2024-01-01,2024-02-01,2069.2984,2129.7709,1989.5381,2041.646,9354470.423780488,502103645.0431184
2023-12-01,2024-01-01,2041.6465,2113.5422,1979.0903,2069.0659,6366366.845599094,502144724.03381485
2023-11-01,2023-12-01,1985.6521,2047.7077,1915.6181,2037.2309,7355455.2695101835,488710687.7183724
2023-10-01,2023-11-01,1855.43,2009.3931,1817.1313,1986.2532,6353724.427154021,472936817.6729466
2023-09-01,2023-10-01,1940.0798,1948.2406,1850.5946,1854.4821,3078848.4947758773,472777401.0184957
2023-08-01,2023-09-01,1964.3936,1964.5591,1884.8728,1940.093,3631794.2534835595,474212247.6831033
2023-07-01,2023-08-01,1919.55,1985.473,1906.5775,1964.6187,5138584.312882246,479846642.485876
2023-06-01,2023-07-01,1963.6954,1985.5763,1899.0235,1919.7249,6390192.427689544,479748221.67027396
2023-05-01,2023-06-01,1989.5364,2182.6302,1931.0686,1963.8028,7201202.901659618,491347768.979764
2023-04-01,2023-05-01,1988.5654229174208,2062.6517,1956.7275,1991.6169,6482966.682401296,493105556.014281
2023-03-01,2023-04-01,1825.0596,2030.891,1813.0766,1997.3243,8604625.74034109,471135165.16032875
2023-02-01,2023-03-01,1916.5538,1943.2399,1806.6928,1825.857,1467816.20173397,456430988.8592537
2023-01-01,2023-02-01,1810.9697,1936.7326,1803.4715,1916.4614,400938.6632664029,464402744.5588574
2022-12-01,2023-01-01,1754.5913,1821.7903,1740.697,1810.9697,284476.18757039064,439759784.62445635
2022-11-01,2022-12-01,1631.2149,1905.1478255776879,1510.3214,1749.885263368046,266836.3414763278,423560480.2023729
2022-10-01,2022-11-01,1661.4669,1722.4884,1617.496,1631.4843,228813.77126908366,409527278.29893374
2022-09-01,2022-10-01,1705.2645,1737.5998,1615.1873,1661.8317,206392.35224190072,415110381.59213823
2022-08-01,2022-09-01,1756.056,1800.6486,1704.3587,1705.2645,193182.32603068507,433727041.3327234
2022-07-01,2022-08-01,1821.5918922825083,1861.9025468351072,1683.1389,1756.056,1242030.9614965,431859799.63094676
2022-06-01,2022-07-01,1844.7189,1882.2437,1811.906,1821.0339,3302562.489862169,454616108.64272773
2022-05-01,2022-06-01,1898.462,1901.5268,1795.3744,1844.7189,4763146.0759376995,456898372.06850904
2022-04-01,2022-05-01,1936.4969,1996.7931,1886.4891,1894.5651,2750403.3709479906,289065373.68047595
2022-03-01,2022-04-01,1907.097,2074.3333,1895.3476,1935.6021,1641922.3025365346,206015555.02541834
2022-02-01,2022-03-01,1796.1968,1986.2652,1788.9301,1907.097,1975165.114056021,195836513.4419797
