Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,157.9364,176.0016,137.1231,168.5942,104347848.16104208,2889064369.0532928
2024-07-01,2024-08-01,168.0212,174.8591,134.0352,157.8975,94547210.38784243,2961359628.20035
2024-06-01,2024-07-01,148.7683,181.2638,147.3243,167.8088,84635107.87467685,3061394957.7477794
2024-05-01,2024-06-01,119.9124,149.2964,116.3947,148.9549,65525329.758384146,2477115400.065113
2024-04-01,2024-05-01,127.6801,140.3363,105.8233,119.4045,74969491.45000158,2290662864.524588
2024-03-01,2024-04-01,135.1886,151.6242,126.8568,127.6061,102567765.68329705,2594546282.8148327
2024-02-01,2024-03-01,164.1983,170.3659,101.4138,135.0243,239119344.07421598,2452783965.2493615
2024-01-01,2024-02-01,165.6746,173.6526,143.3619,164.8598,139007775.08732578,2889479806.4895477
2023-12-01,2024-01-01,169.2899,179.6897,162.5662,164.9948,135615458.7271985,3150218555.2216616
2023-11-01,2023-12-01,171.8796,173.6783,157.5879,169.4009,117306908.60414979,3063350195.568259
2023-10-01,2023-11-01,147.0573,174.8904,145.5682,172.1447,96704716.47904016,2845287564.098412
2023-09-01,2023-10-01,143.4665,149.6637,138.2721,147.0313,74572349.94654045,2649142445.2945037
2023-08-01,2023-09-01,161.3698,163.6558,136.2481,143.2605,130647443.75493482,2790903559.276771
2023-07-01,2023-08-01,168.477,172.3751,157.2303,161.8299,114665608.95204382,3021635493.7033544
2023-06-01,2023-07-01,146.1343,170.7821,128.7066,168.3959,135649732.53274855,2689898242.867759
2023-05-01,2023-06-01,155.6515,159.1839,145.0858,146.472,93361445.97518848,2798660152.591355
2023-04-01,2023-05-01,157.77487948232496,164.1809,149.7566,156.669,111506530.97723012,2891720200.0011463
2023-03-01,2023-04-01,150.25395589246693,166.66699493627232,132.4089,157.75805822891644,144237658.46595567,2766200029.9328637
2023-02-01,2023-03-01,177.4321,180.4093,146.0564,150.29230485224866,120216529.30993815,2948899645.7087145
2023-01-01,2023-02-01,147.2425,187.0446,146.4654,177.6844,142492488.796875,3023241343.7684326
2022-12-01,2023-01-01,142.05255739142393,152.9294,138.9996105349542,147.3278,113918756.59571294,2655169549.5757327
