Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,5608.148,5701.5019,4374.9464,5200.0236,23471515.765639085,172860182.43598965
2024-07-01,2024-08-01,6387.2175,6904.6626,5334.4689,5607.4502,33304354.240053266,199217026.1323423
2024-06-01,2024-07-01,6996.5328,7193.5834,5500.4134,6376.8952,31317740.58862538,211839805.83691126
2024-05-01,2024-06-01,6700.064,7400.8992,6396.8985,7006.1444,30562438.1315331,233080563.87848434
2024-04-01,2024-05-01,9163.2603,9368.8,5906.3479,6713.4942,60979862.364428245,253562941.0772253
2024-03-01,2024-04-01,8622.5159,10780.91,7970.9134,9164.2692,119745460.52469674,310680491.4570452
2024-02-01,2024-03-01,7097.2393,9362.8581,6976.8772,8601.138,57427455.50824622,255065408.33879215
2024-01-01,2024-02-01,8135.6412,8416.1059,6541.6695,7086.1791,65223815.73965593,252344637.68107578
2023-12-01,2024-01-01,8241.7407,9537.3545,7681.547,8094.7394,115140560.2348816,281523402.84024054
2023-11-01,2023-12-01,5677.9269,15661.5,5537.0022,8255.0512,350812053.84897125,273649689.687687
2023-10-01,2023-11-01,5246.9805,6029.5628,4821.5666,5666.4372,52785871.227550134,178213751.8293131
2023-09-01,2023-10-01,5540.5794,5605.4592,5025.7737,5242.4755,39037116.77948289,176566574.38880825
2023-08-01,2023-09-01,6722.4466,6837.2675,4868.3367,5528.9719,67508718.60880089,199201283.1931232
2023-07-01,2023-08-01,6651.8683,7451.4353,6468.7363,6723.2471,68075791.1312007,228151799.037966
2023-06-01,2023-07-01,6513.8686,6765.2528,4979.7275,6649.0721,63277790.02666688,200402887.6412867
2023-05-01,2023-06-01,8188.287,8241.0117,6297.9996,6514.908,691212348.6118138,233349322.7771371
2023-04-01,2023-05-01,8793.0238,9468.0325,7765.3085,8205.7997,76949940.53425398,286056244.03098243
2023-03-01,2023-04-01,9100.362761927414,11083.6038,7025.2321,8779.5154,213440838.62063897,325573990.97608316
2023-02-01,2023-03-01,7236.2879,10120.54865066666,6634.9098,9113.062683705533,150311576.05729455,287544273.9097707
2023-01-01,2023-02-01,5095.2,8008.8609,5050.1438,7234.8872,84994742.09109855,238910674.59657484
2022-12-01,2023-01-01,6762.8140766659,7469.750068255338,5048.0109,5098.9356,61703298.29426346,225506891.95274353
2022-11-01,2022-12-01,8140.5158,8587.1793,5333.6774,6770.067269277595,114441449.22242269,247454852.28330827
2022-10-01,2022-11-01,8121.434167544883,8654.384,7260.9801,8150.6886,71159567.15226758,291253686.4823177
2022-09-01,2022-10-01,9045.102,11204.3338,7843.503747878156,8123.068714091825,124620626.06882745,328787393.21007055
2022-08-01,2022-09-01,10889.2162,12224.128921500906,8280.8508,9043.6632,152335444.87761194,380890269.9435258
2022-07-01,2022-08-01,5411.204407663876,13776.9689,5202.496847568622,10875.9763,199875242.93961275,245437236.4294351
2022-06-01,2022-07-01,8058.784531774911,8166.2328812651795,4056.8041,5365.645163144595,174916520.77940843,227967412.6150872
2022-05-01,2022-06-01,16638.380549550802,18512.4489,7343.5025,8075.485490805787,175855897.96077546,431686651.916463
2022-04-01,2022-05-01,22246.27946445929,25308.83968282656,16115.6248,16617.264818977794,140160147.75918713,732410110.3343257
2022-03-01,2022-04-01,21562.8913,24489.6551,17599.0859,22281.77993252788,215028904.24228147,747608480.0093374
2022-02-01,2022-03-01,24832.840899858984,27034.819746475678,17230.754341229465,21528.4478,202335525.38758636,839332540.0655811
2022-01-01,2022-02-01,33081.6953655217,41485.5413,20627.6529,24836.348963714798,575314784.1904087,1126200560.060732
2021-12-01,2022-01-01,29654.00156138675,39054.52190990672,18931.7949,32997.0175718937,540897658.8955822,1003630548.5160867
2021-11-01,2021-12-01,34101.52294992911,36253.38084920328,28083.9917,29668.656938424487,214120324.2734032,1192906779.4144037
2021-10-01,2021-11-01,29132.5943470828,39516.51094146229,28878.483380564103,34120.94713651791,255965797.89026305,1243445553.6210258
2021-09-01,2021-10-01,38431.177,43819.487043064015,26894.444745239085,29128.065666896186,409952360.6237553,1250157170.4380376
2021-08-01,2021-09-01,33227.59602426007,41889.98188129717,30718.22,38496.8783,495525377.29027873,1336382246.208546
2021-07-01,2021-08-01,33794.042082999564,37631.97,24938.61,33413.49690443603,270255014.6077047,1138147354.4248083
2021-06-01,2021-07-01,46916.78128945478,47501.08123869619,25391.40264830324,33650.05049690096,405120153.70329016,1351935544.9787195
2021-05-01,2021-06-01,48960.601467901,91137.12223623,24310.43,46842.41373425543,1099057184.8325918,1968654376.936321
2021-04-01,2021-05-01,36131.67,56842.713570497,35722.22,48854.691233302,694673116.3992177,1620624214.4173234
2021-03-01,2021-04-01,30715.962345087,42040.827818282,29852.97,36056.47,462442490.61584705,1278278394.0566046
2021-02-01,2021-03-01,30188.190102482,51423.892250289,27703.073350049,30704.376166993,868530161.6262333,1314267471.407925
2021-01-01,2021-02-01,22783.862349537,40015.62992666,20604.296673354,30231.477052535,1044271690.2835137,900907120.9022926
2020-12-01,2021-01-01,26442.650098703,31568.37025884,19043.744905863,22872.163942491,711850882.4434168,764752730.1626873
2020-11-01,2020-12-01,10492.52359714,29676.880961407,7501.236631935,26442.194739961,1233805533.581532,555636101.359751
2020-10-01,2020-11-01,23845.823428642,26024.332755686,9719.313517238,10488.053070689,595214029.139241,473249869.22017473
2020-09-01,2020-10-01,34967.993932867,43737.996437449,18636.842623755,23762.87912457,752138123.3101796,883395531.6679862
2020-08-01,2020-09-01,4067.421469654,39202.380844648,3620.749856781,34814.379861169,174338594.2251565,301419727.16654694
2020-07-21,2020-08-01,944.542951204,5081.973290436,618.335944347,4067.263975098,5889263.970440357,66385276.97932723
