Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-01,2024-09-01,3233.3905,3240.2765,2151.5697,2516.5934,43397091.28104517,0
2024-07-01,2024-08-01,3435.5428,3560.2256,2829.9323,3232.5578,41335433.25397697,0
2024-06-01,2024-07-01,3762.4153,3876.5432,3249.2507,3438.5916,46965284.208609655,0
2024-05-01,2024-06-01,3012.5803,3967.2499,2835.1704,3762.3324,83616623.6197735,0
2024-04-01,2024-05-01,3630.6911,3717.1838,2837.4472,3018.3828,64325866.51534673,0
2024-03-01,2024-04-01,3337.0814,4081.1377,3070.2926,3625.0662,41310436.09383452,0
2024-02-01,2024-03-01,2280.531,3506.2487,2246.3982,3340.0103,9293807.667247387,0
2024-01-01,2024-02-01,2283.9954,2690.8876,2139.6227,2283.0814,3068108.859647212,0
2023-12-01,2024-01-01,2046.5461,2420.8436,2043.2699,2274.4179,3510776.215081828,0
2023-11-01,2023-12-01,1809.8768,2129.956,1782.1965,2044.9234,3207226.417660086,0
2023-10-01,2023-11-01,1667.7176,1860.2886,1530.2596,1807.0425,2405276.2086919714,0
2023-09-01,2023-10-01,1646.0465,1684.144,1539.7079,1667.6932,1697121.0850239454,0
2023-08-01,2023-09-01,1854.0279,1871.024,1586.0993,1645.8789,1927454.8578551786,0
2023-07-01,2023-08-01,1927.8079,2019.5338,1827.4928,1854.6949,585943.0585387037,916537914.6825242
2023-06-01,2023-07-01,1871.2392,2017.0872,1280.9121,1927.8079,463272.3376785709,0
2023-05-01,2023-06-01,1873.9642,2268.3568,1367.3408,1860.4932,350091.4450505704,0
2023-04-01,2023-05-01,1813.2798,2138.4577353776494,1760.3429,1877.7283,269817.0407167181,726207741.1288123
2023-03-01,2023-04-01,1596.6047751004103,1843.8976,1362.3712,1813.2798,289421.2320970193,1162173703.2257755
2023-02-01,2023-03-01,1572.7179,1723.7613,1454.8816,1596.6047751004103,247306.16715450067,1126530400.5275428
2023-01-01,2023-02-01,1186.2724,1670.1543,1174.6728,1572.7179,238754.107885503,1005332515.3809992
2022-12-01,2023-01-01,1279.4262,1332.1455,1142.3253,1185.1511,164106.10667054093,855430134.9689201
2022-11-01,2022-12-01,1532.7238,1645.9013,1061.6485,1279.4262,226011.09260138535,907055014.1942811
2022-10-01,2022-11-01,1322.674145051052,1593.668,1068.5688,1531.206,149516.21274270848,922560097.3671098
2022-09-01,2022-10-01,1514.1943,1736.3943,1224.9533,1322.674145051052,171852.85772842975,1021171663.212869
2022-08-01,2022-09-01,1649.1922,1963.5921,1383.3743,1512.3525,4960488.255857044,1157108746.2849512
2022-07-01,2022-08-01,1030.5367,1740.2893,985.6852,1649.1922,15542309.717850221,912777688.0386845
2022-06-01,2022-07-01,1920.8609,1946.5194,835.3289,1030.6283,69710760.38384722,952646598.282646
2022-05-01,2022-06-01,2735.3589,2952.5451,1689.4336,1925.186,97704539.79100162,1539526813.6766264
2022-04-01,2022-05-01,3281.0253,3570.105,2729.747,2735.3589,37294505.30570133,2178635121.2003903
2022-03-01,2022-04-01,2926.1136,3459.0656,2452.6715,3281.0253,14089944.556980591,2010765942.925346
2022-02-01,2022-03-01,2683.1198,3269.358,2311.6686,2925.3434,14293116.676318698,1996521429.1273544
2022-01-01,2022-02-01,3666.338,3870.1351,2171.041,2683.1198,25141095.77824515,2151669464.8031497
2021-12-01,2022-01-01,4505.7599,4664.08,3590.9353,3674.4838,11385791.584298337,2828063409.194519
2021-11-01,2021-12-01,4265.2692,4821.1894145029055,3824.3626,4505.7599,12781018.647488605,3063474826.8066406
2021-10-01,2021-11-01,2971.4461,4423.2292,2967.3759,4265.2692,15863058.060792666,2623799923.7057
2021-09-01,2021-10-01,3421.8494,3993.4325,2688.7774,2977.7674,15543209.10429054,2325648966.9204235
2021-08-01,2021-09-01,2527.14,3446.7599,2417.43,3423.1028,15156743.768425116,1970611762.5774772
2021-07-01,2021-08-01,2269.55,2537.9,1706.98,2532.63,125254.24862691738,0
2021-06-01,2021-07-01,2676.72,2903.13,1715.7185514076302,2269.55,162232.23187300825,0
2021-05-01,2021-06-01,2694.127769842,4339.91,2036.63,2676.6,747930.4117268323,0
2021-04-01,2021-05-01,1946.06,2835.24,1937.177050507,2694.127769842,252866.85884770917,0
2021-03-01,2021-04-01,1401.0332804987963,1973.51,1401.0332804987963,1941.96,138252.04113855393,151692878.11833197
2021-02-01,2021-03-01,1270.5165371530022,1986.7434619043008,1270.5165371530022,1401.0332804987963,151984.882774607,257524878.76868638
2021-01-01,2021-02-01,733.3186200214205,1455.627440516047,712.5553558248389,1270.5165371530022,38225.21643446505,68412082.28496367
2020-12-22,2021-01-01,599.4465486960033,741.3153619309549,556.9476103722608,733.3186200214205,77973.32782615311,6988824.179451931
